Customer,M,F,R,DM
1,311349,6,6,yes
2,509794,4,28,yes
3,176331,15,51,yes
4,402413,30,33,yes
5,16689,12,4,no
6,263978,4,126,no
7,268976,6,116,no
8,125001,15,35,no
9,99111,4,76,no
10,43713,13,54,no
11,219339,19,50,yes
12,418277,24,4,yes
13,191852,17,58,yes
14,325230,25,20,no
15,54382,3,31,no
16,242646,3,102,no
17,502564,11,5,yes
18,244886,8,82,no
19,146868,14,41,yes
20,468018,24,46,yes
21,443524,4,149,no
22,257656,5,108,no
23,312326,26,4,yes
24,522631,34,25,yes
25,213622,19,3,yes
26,440905,20,34,yes
27,515250,34,21,yes
28,193396,19,32,no
29,449973,13,26,no
30,61895,7,10,yes
31,115642,9,118,no
32,498366,23,13,yes
33,180068,1,6,no
34,434332,2,102,no
35,495402,26,54,no
36,457329,13,31,yes
37,156506,17,47,no
38,475050,1,10,no
39,98768,18,51,no
40,344238,8,4,no
41,73166,1,206,no
42,236765,14,39,no
43,547412,31,27,yes
44,370486,2,179,no
45,472860,22,23,no
46,36385,14,56,no
47,98474,7,93,no
48,223406,9,48,no
49,96385,2,217,no
50,154761,6,13,no
51,414951,14,25,yes
52,510658,14,3,yes
53,436755,17,8,no
54,425388,25,58,yes
55,436832,26,22,yes
56,478254,22,16,yes
57,248414,8,12,no
58,543696,12,59,no
59,21578,15,25,no
60,350208,8,40,yes
61,382723,5,147,no
62,504486,4,36,no
63,306490,7,118,no
64,113376,6,54,yes
65,465782,5,24,no
66,505229,34,10,yes
67,204319,9,44,no
68,475518,4,1,yes
69,468694,7,116,no
70,444530,15,14,no
71,535243,9,113,no
72,261237,2,183,no
73,91039,15,29,yes
74,4633,3,207,no
75,447119,4,173,no
76,224673,5,179,no
77,110872,16,12,yes
78,85899,10,68,no
79,196416,1,16,no
80,401897,20,53,yes
81,12171,11,10,no
82,374206,15,58,yes
83,46207,13,2,no
84,497447,1,95,no
85,230939,20,5,no
86,386328,20,8,yes
87,137791,1,104,no
88,23607,4,50,no
89,319800,10,107,yes
90,155285,6,30,no
91,428007,17,47,yes
92,62919,12,24,no
93,174465,6,77,no
94,530513,15,36,yes
95,383368,22,29,yes
96,354370,24,7,yes
97,220593,19,41,no
98,495547,27,26,yes
99,531393,1,145,no
100,214357,1,120,no
101,379809,3,168,no
102,85553,10,120,no
103,215398,19,51,yes
104,109736,7,56,no
105,113721,9,36,no
106,319797,12,35,yes
107,195754,4,63,no
108,28846,1,204,no
109,82278,9,88,no
110,7305,12,8,no
111,533354,40,18,yes
112,273747,2,177,no
113,167048,18,48,no
114,209382,3,71,no
115,102723,19,51,no
116,205038,11,26,yes
117,200214,13,18,yes
118,100412,8,10,no
119,343978,13,8,yes
120,872,13,14,no
121,30709,14,11,no
122,902,9,17,no
123,222219,11,54,no
124,363987,11,55,no
125,521362,25,60,yes
126,437423,16,16,yes
127,99476,18,17,yes
128,172262,18,2,yes
129,427875,3,166,no
130,215323,2,153,no
131,263886,9,120,no
132,234054,4,106,yes
133,281173,19,19,no
134,377232,8,30,no
135,18435,14,14,no
136,309487,29,56,yes
137,437527,13,44,yes
138,252256,20,3,yes
139,321691,2,46,no
140,429581,30,47,no
141,89183,18,31,no
142,87046,13,9,no
143,39472,4,36,no
144,474814,29,11,yes
145,61785,8,17,no
146,429603,14,29,no
147,530948,2,228,no
148,333597,18,7,yes
149,18796,10,41,no
150,191357,9,36,yes
151,194886,11,54,no
152,56485,7,78,no
153,335045,9,53,yes
154,194127,4,117,no
155,484532,11,45,yes
156,123798,18,44,no
157,334233,15,4,yes
158,3832,9,28,no
159,106412,2,94,no
160,287247,16,20,no
161,321572,15,39,yes
162,18300,5,58,no
163,81243,1,209,no
164,128964,19,55,no
165,374090,10,105,no
166,368476,5,67,no
167,326065,18,55,no
168,152379,4,102,no
169,193714,5,43,no
170,171942,16,48,no
171,415766,25,10,no
172,458060,29,55,yes
173,432041,29,4,yes
174,364648,6,24,yes
175,11302,2,99,no
176,87036,11,36,no
177,215556,4,28,no
178,20822,1,148,no
179,115534,16,54,no
180,295991,4,69,no
181,6420,10,114,no
182,416555,1,24,no
183,154005,2,122,no
184,211835,12,16,yes
185,13657,1,92,no
186,180209,7,61,no
187,46369,1,94,no
188,525801,36,4,yes
189,355932,28,10,yes
190,533659,5,61,no
191,270049,10,47,yes
192,333784,28,6,yes
193,13149,2,226,no
194,6013,10,7,no
195,545662,17,35,no
196,84086,1,73,no
197,208938,10,34,no
198,332216,2,167,no
199,336241,15,58,no
200,96771,9,49,no
201,404223,9,94,no
202,60352,5,64,no
203,537560,35,30,no
204,30784,3,77,no
205,488201,1,160,no
206,535432,5,99,no
207,270116,10,48,yes
208,219897,10,3,no
209,64753,10,58,no
210,426799,9,2,yes
211,74946,3,130,no
212,240841,7,71,yes
213,87993,18,34,yes
214,37976,7,54,no
215,352028,27,35,yes
216,471578,17,37,yes
217,143134,7,114,yes
218,192180,2,226,no
219,157911,17,41,no
220,191341,6,36,no
221,329623,5,60,no
222,522523,11,27,no
223,150222,6,96,no
224,479747,26,58,yes
225,520906,26,26,yes
226,52686,8,44,no
227,224710,9,76,yes
228,391048,16,21,yes
229,507393,8,69,yes
230,195391,16,39,no
231,140503,6,78,no
232,168262,19,6,no
233,526078,40,7,yes
234,3628,4,76,no
235,458034,15,13,no
236,249423,15,5,no
237,414593,30,22,yes
238,501764,37,20,yes
239,108897,5,138,no
240,28963,13,52,no
241,379157,6,73,yes
242,483684,26,1,yes
243,30475,11,32,no
244,494475,28,59,yes
245,416180,7,6,no
246,22463,14,47,no
247,478792,23,24,no
248,81538,8,112,no
249,491224,8,54,no
250,472149,6,43,yes
251,299126,5,174,no
252,315354,7,8,no
253,59124,1,123,no
254,26279,5,27,no
255,168226,14,48,no
256,185342,3,134,no
257,21893,15,40,no
258,337296,25,10,yes
259,542654,11,42,no
260,253035,3,78,no
261,524168,10,63,no
262,353942,8,65,no
263,319524,12,49,no
264,315573,15,21,yes
265,6547,6,55,no
266,205415,8,12,yes
267,490403,14,11,yes
268,412963,29,48,yes
269,246966,19,58,no
270,186729,18,48,no
271,423525,10,3,no
272,208615,6,93,no
273,221639,13,33,no
274,527698,25,16,yes
275,547738,11,52,no
276,78676,11,19,no
277,481192,20,19,yes
278,266237,3,190,no
279,524586,11,47,no
280,122631,1,44,no
281,478102,29,27,yes
282,274879,16,13,yes
283,503418,21,1,yes
284,477579,4,161,no
285,64946,5,174,no
286,429234,18,15,yes
287,199340,3,201,no
288,441837,8,85,no
289,410267,22,24,no
290,43325,11,42,no
291,231078,8,70,no
292,156630,2,188,no
293,422476,27,36,yes
294,9622,13,4,no
295,343268,18,51,no
296,12840,10,16,no
297,240917,6,92,no
298,476911,7,116,no
299,386249,3,59,no
300,199536,9,87,yes
301,432374,18,3,yes
302,379645,1,66,no
303,388796,17,43,yes
304,320998,17,22,no
305,164225,3,129,no
306,402295,16,25,yes
307,99738,4,59,no
308,398586,29,25,yes
309,213845,2,69,no
310,342871,15,51,yes
311,468436,6,104,no
312,459610,3,40,no
313,401474,16,39,yes
314,382537,9,76,yes
315,283615,7,120,no
316,150679,13,34,no
317,45842,15,46,yes
318,220130,19,4,yes
319,126518,20,36,no
320,155510,13,60,no
321,410617,10,78,no
322,465874,24,56,yes
323,122211,16,5,yes
324,416252,18,3,yes
325,521163,13,2,yes
326,396345,26,32,yes
327,149020,4,151,no
328,51972,6,107,no
329,447942,14,39,yes
330,80611,9,25,no
331,321940,19,21,no
332,520851,1,27,no
333,273789,15,49,no
334,482802,16,57,yes
335,107897,16,28,no
336,111772,6,93,no
337,498708,26,18,yes
338,295753,11,44,yes
339,378260,14,41,no
340,501719,36,15,yes
341,452128,24,1,yes
342,358763,11,52,yes
343,347376,27,19,yes
344,514039,15,36,yes
345,354023,29,33,yes
346,52625,7,30,no
347,472871,23,41,no
348,256959,4,20,no
349,99803,16,59,no
350,77780,13,7,yes
351,11107,5,144,no
352,394296,22,28,yes
353,251716,7,97,no
354,403762,18,17,yes
355,426113,26,30,yes
356,289823,14,37,yes
357,171110,1,226,no
358,513309,5,12,yes
359,156912,9,92,no
360,304247,2,7,no
361,40985,9,65,yes
362,168323,5,158,yes
363,147568,8,100,no
364,226707,10,3,no
365,67590,6,95,no
366,35903,4,49,no
367,341210,25,53,yes
368,165163,15,43,yes
369,55837,5,26,no
370,418978,23,1,yes
371,53968,18,5,yes
372,464871,1,229,no
373,529237,24,8,no
374,417276,19,31,yes
375,543914,5,132,no
376,81414,18,40,yes
377,292829,1,140,no
378,79102,18,35,no
379,33890,8,114,yes
380,66740,10,53,no
381,461723,14,15,yes
382,48780,2,90,no
383,323095,7,46,no
384,297309,20,9,no
385,27925,10,31,no
386,449308,19,32,no
387,512023,40,3,yes
388,356925,1,61,no
389,80041,17,29,no
390,383344,27,22,no
391,253601,5,102,yes
392,109899,5,52,no
393,387385,27,52,yes
394,219980,8,26,no
395,59402,12,44,no
396,500075,22,19,no
397,179098,19,16,yes
398,382141,30,55,yes
399,482867,16,53,no
400,54708,18,40,no
401,274363,8,75,no
402,262992,1,141,no
403,465633,2,92,no
404,56861,9,110,no
405,398161,5,103,no
406,329260,1,41,no
407,502731,28,9,yes
408,212012,5,131,no
409,493343,18,52,yes
410,205301,2,120,no
411,210944,4,87,no
412,307480,26,43,yes
413,279124,10,2,yes
414,150877,17,19,yes
415,25559,6,113,no
416,209509,5,107,yes
417,356781,24,14,yes
418,323300,24,59,no
419,526909,16,22,yes
420,248396,1,97,yes
421,22591,3,89,no
422,338755,11,8,yes
423,378497,9,39,no
424,291193,9,77,no
425,424083,7,21,yes
426,427267,13,33,yes
427,394929,8,15,no
428,506619,21,59,yes
429,284958,1,195,no
430,452543,4,89,no
431,45963,13,6,no
432,343293,27,9,yes
433,381621,20,27,yes
434,249768,2,46,no
435,186511,9,83,no
436,344844,8,63,no
437,290654,2,71,no
438,374951,20,26,yes
439,295262,13,40,yes
440,256685,1,77,no
441,532205,32,14,yes
442,250299,10,85,no
443,352444,10,61,yes
444,352121,3,129,no
445,52705,18,31,no
446,58376,8,45,no
447,403011,30,43,no
448,459250,9,110,yes
449,502743,15,4,yes
450,115335,5,5,no
451,81826,18,39,yes
452,302289,17,59,no
453,68700,15,59,no
454,535223,34,20,yes
455,242828,6,19,no
456,47520,13,22,yes
457,407192,4,107,yes
458,263594,3,207,no
459,335557,23,32,yes
460,77795,5,121,no
461,145718,3,26,yes
462,36903,9,45,no
463,474762,25,49,yes
464,247335,12,20,yes
465,276999,20,40,no
466,133234,19,59,no
467,346797,21,44,yes
468,113227,17,2,yes
469,198078,15,35,no
470,113314,17,47,no
471,196858,1,103,no
472,549734,1,197,no
473,145294,9,120,yes
474,166968,19,30,no
475,373270,3,194,no
476,194110,4,111,no
477,507981,37,8,yes
478,301641,4,111,no
479,180575,19,50,yes
480,300031,4,43,no
481,453257,4,22,no
482,414519,6,109,yes
483,3793,11,9,no
484,486983,29,60,yes
485,37576,4,176,no
486,161715,2,10,no
487,33472,10,111,no
488,373395,17,3,yes
489,144745,9,10,no
490,59348,6,106,no
491,255329,18,23,no
492,4180,10,19,no
493,382918,7,80,no
494,393612,29,17,yes
495,120691,15,12,no
496,238641,3,132,no
497,258946,19,60,yes
498,481795,8,109,no
499,273983,2,50,no
500,529087,9,102,no
501,458843,27,24,yes
502,113783,10,38,no
503,495647,7,86,no
504,323526,15,27,yes
505,211031,6,3,yes
506,304373,21,6,no
507,323320,10,77,no
508,147051,3,25,no
509,157076,14,19,no
510,545611,26,47,yes
511,321749,13,8,no
512,441925,18,11,no
513,45113,3,212,no
514,340440,10,85,no
515,351066,17,26,yes
516,225776,4,17,no
517,437369,19,8,yes
518,533661,13,6,yes
519,462459,21,9,yes
520,182858,10,106,no
521,10184,3,128,no
522,202213,4,145,no
523,276173,15,21,yes
524,247078,17,20,no
525,424281,14,57,no
526,537346,37,17,yes
527,128941,1,36,no
528,298360,9,101,no
529,366847,8,26,yes
530,99062,10,70,no
531,349804,26,30,yes
532,116816,6,10,no
533,476680,10,36,no
534,42399,2,13,no
535,411276,22,34,yes
536,307148,2,87,no
537,521773,23,55,yes
538,504345,39,22,yes
539,202539,11,58,no
540,28711,10,63,no
541,514688,6,97,no
542,27080,3,176,no
543,99949,15,52,no
544,399340,30,24,yes
545,15998,8,98,no
546,37893,1,106,no
547,38545,1,100,no
548,478360,27,21,yes
549,293937,2,54,no
550,121513,16,14,yes
551,469823,6,35,no
552,483768,9,45,no
553,452068,17,55,no
554,304619,5,25,no
555,101224,3,223,no
556,398471,17,35,yes
557,429799,5,87,no
558,91929,7,16,no
559,518315,37,27,yes
560,180485,13,6,no
561,418261,24,47,yes
562,423097,1,125,no
563,71899,6,83,no
564,234275,17,40,no
565,444099,7,95,no
566,289523,13,13,no
567,241099,12,4,no
568,151859,2,192,no
569,213036,5,67,no
570,453158,18,18,no
571,59156,1,111,no
572,93050,9,27,yes
573,339364,17,18,no
574,326929,18,31,yes
575,137163,3,118,no
576,45118,1,182,no
577,85068,10,30,yes
578,329900,14,37,yes
579,247961,19,55,yes
580,204038,4,124,no
581,537593,35,6,yes
582,446746,20,53,no
583,183625,6,86,no
584,522757,3,109,no
585,247076,11,1,yes
586,168814,4,172,no
587,169232,12,25,yes
588,452281,12,55,no
589,391137,26,17,yes
590,424568,19,22,no
591,433413,20,4,no
592,538752,14,60,yes
593,286351,18,40,yes
594,333292,17,24,yes
595,288043,17,10,yes
596,314272,5,172,no
597,12211,12,44,no
598,467735,30,42,yes
599,101357,3,33,no
600,104030,8,54,no
601,527027,23,42,no
602,195240,4,69,no
603,430283,9,18,yes
604,529989,30,1,yes
605,21091,9,21,no
606,183088,16,37,no
607,99694,12,58,no
608,70593,2,164,no
609,48748,5,106,no
610,108565,14,2,yes
611,25769,3,140,no
612,32883,1,187,no
613,348553,2,183,no
614,422899,30,40,yes
615,68351,9,118,no
616,376975,12,34,no
617,476347,24,26,no
618,414966,7,46,no
