date,num,day,holiday
20150401,229,3,0
20150402,249,4,0
20150403,267,5,0
20150404,109,6,0
20150405,79,7,0
20150406,263,1,0
20150407,216,2,0
20150408,224,3,0
20150409,243,4,0
20150410,228,5,0
20150411,121,6,0
20150412,75,7,0
20150413,229,1,0
20150414,192,2,0
20150415,229,3,0
20150416,256,4,0
20150417,205,5,0
20150418,101,6,0
20150419,113,7,0
20150420,198,1,0
20150421,232,2,0
20150422,231,3,0
20150423,244,4,0
20150424,229,5,0
20150425,102,6,0
20150426,83,7,0
20150427,243,1,0
20150428,221,2,0
20150429,94,3,1
20150430,230,4,0
20150501,218,5,0
20150502,114,6,0
20150503,99,7,0
20150504,92,1,1
20150505,84,2,1
20150506,74,3,1
20150507,258,4,0
20150508,228,5,0
20150509,103,6,0
20150510,108,7,0
20150511,235,1,0
20150512,203,2,0
20150513,251,3,0
20150514,224,4,0
20150515,218,5,0
20150516,108,6,0
20150517,101,7,0
20150518,230,1,0
20150519,211,2,0
20150520,217,3,0
20150521,253,4,0
20150522,247,5,0
20150523,101,6,0
20150524,68,7,0
20150525,225,1,0
20150526,270,2,0
20150527,242,3,0
20150528,295,4,0
20150529,229,5,0
20150530,143,6,0
20150531,110,7,0
20150601,270,1,0
20150602,272,2,0
20150603,229,3,0
20150604,291,4,0
20150605,254,5,0
20150606,156,6,0
20150607,104,7,0
20150608,253,1,0
20150609,213,2,0
20150610,258,3,0
20150611,243,4,0
20150612,230,5,0
20150613,111,6,0
20150614,87,7,0
20150615,240,1,0
20150616,230,2,0
20150617,211,3,0
20150618,232,4,0
20150619,177,5,0
20150620,123,6,0
20150621,77,7,0
20150622,233,1,0
20150623,240,2,0
