panel,q12,q13,q14,q15,q19,q23,q24,q25,q26,q27,q3,q5,q7,q22,q10,q11,q17,q18,q1,q2,q4,q6,q8,q9,q16,q20,q21,age,gender,year,type
502,2,2,4,2,3,5,5,4,4,4,5,4,4,5,1,1,2,2,1,5,3,1,1,4,2,4,4,45,0,5,2
12002,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,33,0,5,2
13302,1,1,1,1,1,1,1,4,1,1,5,4,3,1,1,1,1,1,3,5,1,5,1,1,1,1,1,45,0,5,2
19541,4,4,3,4,2,2,4,1,1,1,4,1,1,2,2,2,1,1,2,4,3,3,1,2,2,3,1,46,0,3,2
19848,3,3,3,3,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,43,0,4,2
20299,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,37,1,9,2
22576,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,2,2,1,46,0,15,2
24832,3,3,2,2,2,4,4,3,3,3,2,3,3,4,2,2,2,2,2,3,4,4,2,2,2,3,2,49,0,10,2
25957,2,2,2,3,3,3,3,3,3,3,4,4,4,3,3,2,4,4,3,3,3,4,1,3,3,3,2,45,0,10,2
26970,2,2,2,3,3,2,3,3,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,46,1,10,2
28190,3,2,2,2,2,4,4,3,3,3,4,3,4,4,2,2,3,3,4,1,3,2,4,3,2,4,1,43,0,15,3
29618,4,3,3,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,47,0,5,2
35247,2,2,2,2,2,4,4,4,2,2,4,4,4,4,3,3,2,2,4,4,4,4,4,3,2,4,2,48,0,25,2
35305,3,3,2,2,3,3,4,3,3,3,4,4,4,3,3,3,3,3,2,3,3,4,2,3,3,4,2,37,1,5,2
36672,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,53,0,3,1
37167,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,3,4,3,3,3,3,2,47,0,5,2
37176,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,4,2,3,4,4,4,4,3,2,41,0,5,2
50586,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,0,10,2
50743,2,2,2,2,2,3,3,3,3,3,3,3,3,4,2,1,2,2,3,2,3,4,3,3,2,3,2,36,0,3,2
51041,1,1,1,1,1,5,1,5,5,5,5,5,5,5,1,1,1,1,5,1,3,1,1,5,1,1,1,48,0,4,2
52741,2,2,1,1,1,4,4,4,4,4,4,4,4,4,1,2,3,3,3,4,4,5,3,3,1,3,1,38,0,4,2
73004,3,3,3,3,3,3,3,3,3,3,3,4,2,3,1,2,3,3,4,2,3,4,2,3,3,2,2,40,0,10,2
74256,1,1,1,1,1,3,3,3,3,3,4,4,1,3,1,1,1,1,3,3,4,3,1,1,1,4,3,49,0,12,2
83809,3,2,2,2,2,4,4,4,4,4,4,3,2,4,2,2,3,2,3,4,3,3,2,3,2,4,1,48,0,10,2
87189,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,47,1,5,2
99248,1,1,1,1,1,4,4,4,4,3,4,4,4,4,2,2,1,1,3,3,2,4,3,4,1,3,2,73,0,40,2
107588,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,3,4,3,4,4,66,1,5,2
117578,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,3,2,4,2,2,3,2,4,3,51,0,20,2
131656,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,4,4,2,72,0,9,2
136658,2,2,2,2,2,4,4,5,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,2,3,2,27,0,3,2
146839,3,3,2,3,1,3,3,2,3,3,4,2,2,3,1,1,1,1,2,4,4,1,1,3,3,2,1,54,0,10,2
168260,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,41,1,5,2
168759,3,1,1,1,3,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,4,1,3,3,1,1,38,1,10,2
174421,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,43,0,10,2
179627,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,40,0,8,2
188957,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,2,4,3,3,3,3,2,53,0,3,2
190101,3,3,3,3,3,2,2,2,2,2,4,4,4,2,2,3,3,3,4,3,2,4,3,2,3,3,2,37,0,3,2
192347,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,62,1,30,2
219343,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,3,43,0,10,3
227364,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,27,0,7,2
230848,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,4,4,3,4,3,3,3,35,0,5,2
231444,2,2,2,2,2,4,4,4,4,3,2,4,3,4,4,4,3,4,2,2,4,4,3,3,2,3,1,60,1,10,3
233825,1,1,3,1,1,4,4,4,2,2,2,4,4,4,1,1,1,1,4,4,2,4,1,4,1,1,1,49,0,10,2
253448,3,3,3,1,3,3,3,3,3,3,4,4,4,3,1,1,1,1,2,4,4,4,4,4,3,3,3,35,0,6,2
270974,3,3,3,3,4,4,3,3,4,3,4,3,3,4,3,3,3,3,3,2,2,4,3,3,3,3,2,38,0,10,2
271050,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,59,0,5,2
278187,1,1,1,1,2,4,4,4,4,3,4,5,3,4,2,1,3,3,5,2,4,5,2,2,2,4,5,43,0,20,2
278270,3,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,3,4,2,2,2,4,4,2,31,0,4,2
278357,2,2,2,2,2,3,3,3,3,3,5,4,4,3,4,3,2,2,4,2,4,5,4,4,2,4,3,28,0,8,2
282951,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,36,0,10,2
286843,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,38,0,5,1
293816,2,2,2,2,2,4,4,4,5,5,5,5,5,5,3,3,2,2,2,4,5,5,1,4,2,2,1,65,0,30,3
298581,2,1,1,1,1,1,4,1,1,1,4,4,3,4,3,3,1,1,4,3,4,5,3,3,1,1,4,35,1,2,2
299549,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,48,0,3,2
300017,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,38,1,10,2
302964,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,1,1,4,2,4,4,4,4,4,3,1,45,0,22,1
304855,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,48,1,3,2
306111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,1,1,1,38,1,1,1
310358,4,3,3,3,3,4,4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,4,4,4,3,3,38,1,2,2
310459,1,1,3,1,1,5,3,4,5,4,4,3,5,4,2,1,1,1,5,2,3,4,4,4,1,1,1,41,1,10,2
311228,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,2,2,2,2,4,2,2,2,2,2,4,56,0,0,1
315325,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,3,2,48,1,8,2
315376,3,1,2,1,1,3,3,3,2,2,4,3,3,4,3,2,2,2,4,2,2,3,2,4,1,1,1,58,0,30,3
315474,2,3,2,2,2,4,4,4,3,3,4,4,4,4,2,2,2,2,3,4,3,5,2,3,2,3,2,44,0,7,2
317309,3,2,3,2,2,4,4,3,3,3,4,3,4,2,3,3,2,2,3,4,3,2,3,4,2,3,2,57,0,2,2
317363,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,3,3,3,4,63,0,30,1
317636,1,1,1,1,1,4,4,4,2,2,4,4,2,4,1,1,1,1,3,2,4,4,1,3,3,4,1,39,1,3,2
317715,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,4,4,3,3,3,2,30,0,2,2
318457,3,3,3,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,5,3,3,4,4,4,2,75,1,21,2
318829,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,2,46,1,25,3
319685,1,1,1,1,1,3,3,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,2,2,2,59,0,30,3
319787,1,1,1,1,1,3,3,3,2,2,3,4,3,3,2,2,1,1,2,4,2,4,1,3,1,4,4,46,0,2,1
320125,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,4,4,4,4,4,4,2,43,0,13,2
320442,4,4,3,3,4,4,4,4,3,3,5,4,5,4,3,3,2,2,2,5,2,4,2,4,2,4,4,47,0,29,3
322348,2,2,2,2,2,2,2,4,4,4,2,2,4,2,2,2,2,2,4,2,2,4,2,2,2,2,2,51,0,3,2
326060,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,48,0,10,1
332002,4,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,3,2,5,3,4,3,3,3,3,2,30,1,8,2
332737,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,38,0,8,2
333844,3,3,3,3,3,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,4,4,2,3,3,4,2,44,1,5,2
335783,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,50,0,10,2
