recency,history,zip_code,channel,segment,visit
10,142.44,Surburban,Phone,Womens E-Mail,0
6,329.08,Rural,Web,No E-Mail,0
7,180.65,Surburban,Web,Womens E-Mail,0
9,675.83,Rural,Web,Mens E-Mail,0
2,45.34,Urban,Web,Womens E-Mail,0
6,134.83,Surburban,Phone,Womens E-Mail,1
9,280.2,Surburban,Phone,Womens E-Mail,0
9,46.42,Urban,Phone,Womens E-Mail,0
9,675.07,Rural,Phone,Mens E-Mail,0
10,32.84,Urban,Web,Womens E-Mail,0
7,548.91,Urban,Phone,Womens E-Mail,1
1,211.45,Urban,Phone,Womens E-Mail,0
5,642.9,Surburban,Multichannel,Womens E-Mail,0
2,101.64,Urban,Web,Mens E-Mail,1
4,241.42,Rural,Multichannel,No E-Mail,0
3,58.13,Urban,Web,No E-Mail,1
5,29.99,Surburban,Phone,Mens E-Mail,0
9,112.35,Rural,Web,Mens E-Mail,0
11,219.04,Surburban,Phone,Mens E-Mail,0
5,828.42,Surburban,Multichannel,Mens E-Mail,0
9,29.99,Surburban,Phone,No E-Mail,0
11,182.32,Surburban,Phone,Mens E-Mail,0
2,118.4,Surburban,Web,Mens E-Mail,1
2,29.99,Urban,Phone,No E-Mail,0
4,78.24,Surburban,Web,No E-Mail,0
6,139.87,Rural,Web,Mens E-Mail,0
12,115.39,Surburban,Phone,Mens E-Mail,1
6,162.98,Surburban,Web,Mens E-Mail,0
7,435.73,Urban,Web,No E-Mail,0
2,203.35,Rural,Web,No E-Mail,0
2,237.53,Surburban,Phone,Womens E-Mail,0
9,334.24,Urban,Web,Mens E-Mail,0
6,128.01,Urban,Web,Mens E-Mail,0
9,29.99,Surburban,Phone,Mens E-Mail,0
3,29.99,Rural,Web,Womens E-Mail,0
4,218.72,Urban,Multichannel,Womens E-Mail,0
1,514.52,Surburban,Web,Mens E-Mail,0
4,766.47,Urban,Multichannel,Mens E-Mail,0
10,63.79,Rural,Phone,Womens E-Mail,0
7,520.43,Surburban,Web,Mens E-Mail,0
11,236.97,Urban,Phone,Mens E-Mail,0
3,99.23,Rural,Web,Mens E-Mail,1
9,204.18,Surburban,Web,Womens E-Mail,0
2,492.02,Surburban,Phone,No E-Mail,0
1,48.32,Urban,Web,No E-Mail,0
10,29.99,Surburban,Phone,No E-Mail,0
2,391.33,Surburban,Web,No E-Mail,0
1,729.7,Surburban,Web,Mens E-Mail,0
3,134.59,Urban,Phone,Womens E-Mail,1
10,61.09,Surburban,Web,Womens E-Mail,0
3,203.3,Surburban,Web,No E-Mail,0
9,185.43,Urban,Web,Mens E-Mail,0
7,29.99,Urban,Phone,Mens E-Mail,0
9,78.62,Urban,Web,Mens E-Mail,0
12,150.06,Surburban,Phone,No E-Mail,0
6,42.66,Surburban,Web,No E-Mail,0
12,69.08,Rural,Phone,Womens E-Mail,0
