time,date,positive_cases
1,2020/1/14,1
2,2020/1/15,0
3,2020/1/16,0
4,2020/1/17,1
5,2020/1/18,0
6,2020/1/19,0
7,2020/1/20,2
8,2020/1/21,0
9,2020/1/22,1
10,2020/1/23,2
11,2020/1/24,1
12,2020/1/25,0
13,2020/1/26,1
14,2020/1/27,0
15,2020/1/28,1
16,2020/1/29,1
17,2020/1/30,0
18,2020/1/31,0
19,2020/2/1,1
20,2020/2/2,2
21,2020/2/3,2
22,2020/2/4,1
23,2020/2/5,1
24,2020/2/6,1
25,2020/2/7,2
26,2020/2/8,0
27,2020/2/9,0
28,2020/2/10,4
29,2020/2/11,0
30,2020/2/12,1
31,2020/2/13,0
32,2020/2/14,1
33,2020/2/15,0
34,2020/2/16,0
35,2020/2/17,0
36,2020/2/18,1
37,2020/2/19,0
38,2020/2/20,3
39,2020/2/21,0
40,2020/2/22,0
41,2020/2/23,1
42,2020/2/24,2
43,2020/2/25,3
44,2020/2/26,2
45,2020/2/27,2
46,2020/2/28,3
47,2020/2/29,0
48,2020/3/1,2
49,2020/3/2,1
50,2020/3/3,5
51,2020/3/4,3
52,2020/3/5,1
53,2020/3/6,6
54,2020/3/7,2
55,2020/3/8,4
56,2020/3/9,4
57,2020/3/10,9
58,2020/3/11,3
59,2020/3/12,7
60,2020/3/13,6
61,2020/3/14,6
62,2020/3/15,14
63,2020/3/16,17
64,2020/3/17,18
65,2020/3/18,23
66,2020/3/19,25
67,2020/3/20,34
68,2020/3/21,18
69,2020/3/22,36
70,2020/3/23,61
71,2020/3/24,47
72,2020/3/25,63
73,2020/3/26,67
74,2020/3/27,91
75,2020/3/28,95
76,2020/3/29,99
77,2020/3/30,158
78,2020/3/31,106
79,2020/4/1,158
80,2020/4/2,121
81,2020/4/3,164
82,2020/4/4,149
83,2020/4/5,118
84,2020/4/6,137
85,2020/4/7,125
86,2020/4/8,100
87,2020/4/9,78
88,2020/4/10,124
89,2020/4/11,89
90,2020/4/12,69
91,2020/4/13,87
92,2020/4/14,63
93,2020/4/15,61
94,2020/4/16,64
95,2020/4/17,58
96,2020/4/18,52
97,2020/4/19,40
98,2020/4/20,53
99,2020/4/21,43
100,2020/4/22,41
101,2020/4/23,30
102,2020/4/24,28
103,2020/4/25,33
104,2020/4/26,23
105,2020/4/27,28
106,2020/4/28,32
107,2020/4/29,34
108,2020/4/30,17
109,2020/5/1,25
110,2020/5/2,15
111,2020/5/3,21
112,2020/5/4,16
113,2020/5/5,11
114,2020/5/6,7
115,2020/5/7,5
116,2020/5/8,5
117,2020/5/9,6
118,2020/5/10,5
119,2020/5/11,3
120,2020/5/12,5
121,2020/5/13,4
122,2020/5/14,3
123,2020/5/15,6
124,2020/5/16,7
125,2020/5/17,4
126,2020/5/18,5
127,2020/5/19,5
128,2020/5/20,9
129,2020/5/21,5
130,2020/5/22,7
131,2020/5/23,10
132,2020/5/24,15
133,2020/5/25,7
134,2020/5/26,19
135,2020/5/27,13
136,2020/5/28,21
137,2020/5/29,13
138,2020/5/30,10
139,2020/5/31,13
140,2020/6/1,14
141,2020/6/2,13
142,2020/6/3,12
143,2020/6/4,21
144,2020/6/5,15
145,2020/6/6,20
146,2020/6/7,14
147,2020/6/8,23
148,2020/6/9,17
149,2020/6/10,31
150,2020/6/11,19
151,2020/6/12,24
152,2020/6/13,17
153,2020/6/14,26
154,2020/6/15,22
155,2020/6/16,33
156,2020/6/17,29
157,2020/6/18,24
158,2020/6/19,25
159,2020/6/20,49
160,2020/6/21,33
161,2020/6/22,47
162,2020/6/23,58
163,2020/6/24,57
164,2020/6/25,42
165,2020/6/26,46
166,2020/6/27,66
167,2020/6/28,65
168,2020/6/29,88
169,2020/6/30,115
170,2020/7/1,123
171,2020/7/2,103
172,2020/7/3,108
173,2020/7/4,103
174,2020/7/5,103
175,2020/7/6,169
176,2020/7/7,152
177,2020/7/8,133
178,2020/7/9,151
179,2020/7/10,161
180,2020/7/11,167
181,2020/7/12,168
182,2020/7/13,184
183,2020/7/14,164
184,2020/7/15,155
185,2020/7/16,169
186,2020/7/17,151
187,2020/7/18,165
188,2020/7/19,173
189,2020/7/20,211
190,2020/7/21,184
191,2020/7/22,189
192,2020/7/23,158
193,2020/7/24,176
194,2020/7/25,180
195,2020/7/26,224
196,2020/7/27,219
197,2020/7/28,230
198,2020/7/29,200
199,2020/7/30,193
200,2020/7/31,186
201,2020/8/1,231
202,2020/8/2,200
203,2020/8/3,234
204,2020/8/4,223
205,2020/8/5,183
206,2020/8/6,130
207,2020/8/7,163
208,2020/8/8,140
209,2020/8/9,141
210,2020/8/10,177
211,2020/8/11,179
212,2020/8/12,157
213,2020/8/13,137
214,2020/8/14,145
215,2020/8/15,165
216,2020/8/16,135
217,2020/8/17,159
218,2020/8/18,126
219,2020/8/19,114
220,2020/8/20,106
221,2020/8/21,89
222,2020/8/22,118
223,2020/8/23,90
224,2020/8/24,123
225,2020/8/25,123
226,2020/8/26,93
227,2020/8/27,88
228,2020/8/28,86
229,2020/8/29,91
230,2020/8/30,68
231,2020/8/31,96
232,2020/9/1,114
233,2020/9/2,88
234,2020/9/3,92
235,2020/9/4,108
236,2020/9/5,103
237,2020/9/6,88
238,2020/9/7,100
239,2020/9/8,107
240,2020/9/9,106
241,2020/9/10,91
242,2020/9/11,67
243,2020/9/12,97
244,2020/9/13,74
245,2020/9/14,130
246,2020/9/15,93
247,2020/9/16,93
248,2020/9/17,94
249,2020/9/18,76
250,2020/9/19,65
251,2020/9/20,72
252,2020/9/21,97
253,2020/9/22,113
254,2020/9/23,108
255,2020/9/24,104
256,2020/9/25,108
257,2020/9/26,95
258,2020/9/27,83
259,2020/9/28,112
