studentID,s-sID,pre1,post1,pre1.cgm,pre1.cwc,pre2.m,post2.m,schoolID,time2,ratio2,n
1,1,47,150,-2.79,-5.49,52.49,126.39,1,5.21,7.09,100
2,2,53,114,3.21,0.51,52.49,126.39,1,5.21,7.09,100
3,3,46,106,-3.79,-6.49,52.49,126.39,1,5.21,7.09,100
4,4,63,133,13.21,10.51,52.49,126.39,1,5.21,7.09,100
5,5,54,122,4.21,1.51,52.49,126.39,1,5.21,7.09,100
6,6,46,117,-3.79,-6.49,52.49,126.39,1,5.21,7.09,100
7,7,55,143,5.21,2.51,52.49,126.39,1,5.21,7.09,100
8,8,57,127,7.21,4.51,52.49,126.39,1,5.21,7.09,100
9,9,56,148,6.21,3.51,52.49,126.39,1,5.21,7.09,100
10,10,50,130,0.21,-2.49,52.49,126.39,1,5.21,7.09,100
11,11,62,139,12.21,9.51,52.49,126.39,1,5.21,7.09,100
12,12,54,133,4.21,1.51,52.49,126.39,1,5.21,7.09,100
13,13,47,120,-2.79,-5.49,52.49,126.39,1,5.21,7.09,100
14,14,36,109,-13.79,-16.49,52.49,126.39,1,5.21,7.09,100
15,15,60,147,10.21,7.51,52.49,126.39,1,5.21,7.09,100
16,16,51,108,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
17,17,52,140,2.21,-0.49,52.49,126.39,1,5.21,7.09,100
18,18,58,124,8.21,5.51,52.49,126.39,1,5.21,7.09,100
19,19,57,135,7.21,4.51,52.49,126.39,1,5.21,7.09,100
20,20,56,116,6.21,3.51,52.49,126.39,1,5.21,7.09,100
21,21,58,140,8.21,5.51,52.49,126.39,1,5.21,7.09,100
22,22,57,124,7.21,4.51,52.49,126.39,1,5.21,7.09,100
23,23,52,123,2.21,-0.49,52.49,126.39,1,5.21,7.09,100
24,24,38,109,-11.79,-14.49,52.49,126.39,1,5.21,7.09,100
25,25,56,129,6.21,3.51,52.49,126.39,1,5.21,7.09,100
26,26,51,134,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
27,27,51,122,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
28,28,41,112,-8.79,-11.49,52.49,126.39,1,5.21,7.09,100
29,29,48,121,-1.79,-4.49,52.49,126.39,1,5.21,7.09,100
30,30,55,129,5.21,2.51,52.49,126.39,1,5.21,7.09,100
31,31,61,151,11.21,8.51,52.49,126.39,1,5.21,7.09,100
32,32,51,123,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
33,33,54,120,4.21,1.51,52.49,126.39,1,5.21,7.09,100
34,34,51,107,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
35,35,42,117,-7.79,-10.49,52.49,126.39,1,5.21,7.09,100
36,36,49,145,-0.79,-3.49,52.49,126.39,1,5.21,7.09,100
37,37,49,117,-0.79,-3.49,52.49,126.39,1,5.21,7.09,100
38,38,51,125,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
39,39,59,140,9.21,6.51,52.49,126.39,1,5.21,7.09,100
40,40,57,124,7.21,4.51,52.49,126.39,1,5.21,7.09,100
41,41,51,136,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
42,42,50,129,0.21,-2.49,52.49,126.39,1,5.21,7.09,100
43,43,57,115,7.21,4.51,52.49,126.39,1,5.21,7.09,100
44,44,56,122,6.21,3.51,52.49,126.39,1,5.21,7.09,100
45,45,47,113,-2.79,-5.49,52.49,126.39,1,5.21,7.09,100
46,46,47,128,-2.79,-5.49,52.49,126.39,1,5.21,7.09,100
47,47,54,140,4.21,1.51,52.49,126.39,1,5.21,7.09,100
48,48,57,136,7.21,4.51,52.49,126.39,1,5.21,7.09,100
49,49,51,118,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
50,50,58,143,8.21,5.51,52.49,126.39,1,5.21,7.09,100
51,51,54,128,4.21,1.51,52.49,126.39,1,5.21,7.09,100
52,52,47,117,-2.79,-5.49,52.49,126.39,1,5.21,7.09,100
53,53,54,116,4.21,1.51,52.49,126.39,1,5.21,7.09,100
54,54,44,118,-5.79,-8.49,52.49,126.39,1,5.21,7.09,100
55,55,62,127,12.21,9.51,52.49,126.39,1,5.21,7.09,100
56,56,66,131,16.21,13.51,52.49,126.39,1,5.21,7.09,100
57,57,49,141,-0.79,-3.49,52.49,126.39,1,5.21,7.09,100
58,58,44,114,-5.79,-8.49,52.49,126.39,1,5.21,7.09,100
59,59,56,138,6.21,3.51,52.49,126.39,1,5.21,7.09,100
60,60,51,119,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
61,61,69,144,19.21,16.51,52.49,126.39,1,5.21,7.09,100
62,62,51,125,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
63,63,57,125,7.21,4.51,52.49,126.39,1,5.21,7.09,100
64,64,52,120,2.21,-0.49,52.49,126.39,1,5.21,7.09,100
65,65,46,116,-3.79,-6.49,52.49,126.39,1,5.21,7.09,100
66,66,53,148,3.21,0.51,52.49,126.39,1,5.21,7.09,100
67,67,39,115,-10.79,-13.49,52.49,126.39,1,5.21,7.09,100
68,68,62,134,12.21,9.51,52.49,126.39,1,5.21,7.09,100
69,69,53,139,3.21,0.51,52.49,126.39,1,5.21,7.09,100
70,70,67,123,17.21,14.51,52.49,126.39,1,5.21,7.09,100
71,71,55,132,5.21,2.51,52.49,126.39,1,5.21,7.09,100
72,72,47,113,-2.79,-5.49,52.49,126.39,1,5.21,7.09,100
73,73,56,131,6.21,3.51,52.49,126.39,1,5.21,7.09,100
74,74,45,128,-4.79,-7.49,52.49,126.39,1,5.21,7.09,100
75,75,43,109,-6.79,-9.49,52.49,126.39,1,5.21,7.09,100
76,76,54,120,4.21,1.51,52.49,126.39,1,5.21,7.09,100
77,77,49,131,-0.79,-3.49,52.49,126.39,1,5.21,7.09,100
78,78,52,126,2.21,-0.49,52.49,126.39,1,5.21,7.09,100
79,79,52,113,2.21,-0.49,52.49,126.39,1,5.21,7.09,100
80,80,48,118,-1.79,-4.49,52.49,126.39,1,5.21,7.09,100
81,81,48,125,-1.79,-4.49,52.49,126.39,1,5.21,7.09,100
82,82,51,132,1.21,-1.49,52.49,126.39,1,5.21,7.09,100
83,83,60,124,10.21,7.51,52.49,126.39,1,5.21,7.09,100
84,84,41,121,-8.79,-11.49,52.49,126.39,1,5.21,7.09,100
85,85,56,142,6.21,3.51,52.49,126.39,1,5.21,7.09,100
86,86,54,120,4.21,1.51,52.49,126.39,1,5.21,7.09,100
87,87,59,166,9.21,6.51,52.49,126.39,1,5.21,7.09,100
88,88,50,122,0.21,-2.49,52.49,126.39,1,5.21,7.09,100
89,89,54,122,4.21,1.51,52.49,126.39,1,5.21,7.09,100
90,90,54,113,4.21,1.51,52.49,126.39,1,5.21,7.09,100
91,91,48,97,-1.79,-4.49,52.49,126.39,1,5.21,7.09,100
92,92,60,128,10.21,7.51,52.49,126.39,1,5.21,7.09,100
93,93,60,141,10.21,7.51,52.49,126.39,1,5.21,7.09,100
94,94,57,122,7.21,4.51,52.49,126.39,1,5.21,7.09,100
95,95,63,146,13.21,10.51,52.49,126.39,1,5.21,7.09,100
96,96,56,137,6.21,3.51,52.49,126.39,1,5.21,7.09,100
97,97,43,103,-6.79,-9.49,52.49,126.39,1,5.21,7.09,100
98,98,48,119,-1.79,-4.49,52.49,126.39,1,5.21,7.09,100
99,99,43,127,-6.79,-9.49,52.49,126.39,1,5.21,7.09,100
100,100,48,120,-1.79,-4.49,52.49,126.39,1,5.21,7.09,100
101,1,36,96,-13.79,-5.81,41.81,108.66,2,5.48,6.87,100
102,2,43,105,-6.79,1.19,41.81,108.66,2,5.48,6.87,100
103,3,53,114,3.21,11.19,41.81,108.66,2,5.48,6.87,100
104,4,34,95,-15.79,-7.81,41.81,108.66,2,5.48,6.87,100
105,5,41,131,-8.79,-0.81,41.81,108.66,2,5.48,6.87,100
106,6,43,88,-6.79,1.19,41.81,108.66,2,5.48,6.87,100
107,7,47,105,-2.79,5.19,41.81,108.66,2,5.48,6.87,100
108,8,40,113,-9.79,-1.81,41.81,108.66,2,5.48,6.87,100
109,9,56,117,6.21,14.19,41.81,108.66,2,5.48,6.87,100
110,10,41,114,-8.79,-0.81,41.81,108.66,2,5.48,6.87,100
111,11,45,114,-4.79,3.19,41.81,108.66,2,5.48,6.87,100
112,12,49,108,-0.79,7.19,41.81,108.66,2,5.48,6.87,100
113,13,39,113,-10.79,-2.81,41.81,108.66,2,5.48,6.87,100
114,14,35,105,-14.79,-6.81,41.81,108.66,2,5.48,6.87,100
115,15,55,132,5.21,13.19,41.81,108.66,2,5.48,6.87,100
116,16,26,87,-23.79,-15.81,41.81,108.66,2,5.48,6.87,100
117,17,48,127,-1.79,6.19,41.81,108.66,2,5.48,6.87,100
118,18,42,97,-7.79,0.19,41.81,108.66,2,5.48,6.87,100
119,19,49,103,-0.79,7.19,41.81,108.66,2,5.48,6.87,100
120,20,45,120,-4.79,3.19,41.81,108.66,2,5.48,6.87,100
121,21,57,132,7.21,15.19,41.81,108.66,2,5.48,6.87,100
122,22,34,102,-15.79,-7.81,41.81,108.66,2,5.48,6.87,100
123,23,53,122,3.21,11.19,41.81,108.66,2,5.48,6.87,100
124,24,56,130,6.21,14.19,41.81,108.66,2,5.48,6.87,100
125,25,42,121,-7.79,0.19,41.81,108.66,2,5.48,6.87,100
126,26,25,108,-24.79,-16.81,41.81,108.66,2,5.48,6.87,100
127,27,45,119,-4.79,3.19,41.81,108.66,2,5.48,6.87,100
128,28,38,89,-11.79,-3.81,41.81,108.66,2,5.48,6.87,100
129,29,48,121,-1.79,6.19,41.81,108.66,2,5.48,6.87,100
130,30,44,108,-5.79,2.19,41.81,108.66,2,5.48,6.87,100
131,31,47,107,-2.79,5.19,41.81,108.66,2,5.48,6.87,100
132,32,44,111,-5.79,2.19,41.81,108.66,2,5.48,6.87,100
133,33,50,139,0.21,8.19,41.81,108.66,2,5.48,6.87,100
134,34,40,100,-9.79,-1.81,41.81,108.66,2,5.48,6.87,100
135,35,37,101,-12.79,-4.81,41.81,108.66,2,5.48,6.87,100
