id,choice,int.A,haccp.A,eco.A,price.A,int.B,haccp.B,eco.B,price.B,int.C,haccp.C,eco.C,price.C
101,C,1,0,0,145,1,1,0,160,0,0,0,0
102,B,1,1,0,155,1,1,1,145,0,0,0,0
103,B,1,1,1,150,1,0,1,160,0,0,0,0
104,A,1,0,0,150,1,0,0,145,0,0,0,0
105,C,1,0,1,155,1,1,1,150,0,0,0,0
106,C,1,1,1,145,1,1,0,155,0,0,0,0
107,A,1,0,1,160,1,0,1,155,0,0,0,0
108,C,1,1,0,160,1,0,0,150,0,0,0,0
201,C,1,0,0,145,1,1,0,160,0,0,0,0
202,B,1,1,0,155,1,1,1,145,0,0,0,0
203,A,1,1,1,150,1,0,1,160,0,0,0,0
204,C,1,0,0,150,1,0,0,145,0,0,0,0
205,B,1,0,1,155,1,1,1,150,0,0,0,0
206,A,1,1,1,145,1,1,0,155,0,0,0,0
207,C,1,0,1,160,1,0,1,155,0,0,0,0
208,A,1,1,0,160,1,0,0,150,0,0,0,0
301,A,1,0,0,145,1,1,0,160,0,0,0,0
302,B,1,1,0,155,1,1,1,145,0,0,0,0
303,C,1,1,1,150,1,0,1,160,0,0,0,0
304,A,1,0,0,150,1,0,0,145,0,0,0,0
305,A,1,0,1,155,1,1,1,150,0,0,0,0
306,A,1,1,1,145,1,1,0,155,0,0,0,0
307,B,1,0,1,160,1,0,1,155,0,0,0,0
308,A,1,1,0,160,1,0,0,150,0,0,0,0
401,C,1,0,0,145,1,1,0,160,0,0,0,0
402,C,1,1,0,155,1,1,1,145,0,0,0,0
403,C,1,1,1,150,1,0,1,160,0,0,0,0
404,A,1,0,0,150,1,0,0,145,0,0,0,0
405,B,1,0,1,155,1,1,1,150,0,0,0,0
406,A,1,1,1,145,1,1,0,155,0,0,0,0
407,C,1,0,1,160,1,0,1,155,0,0,0,0
408,C,1,1,0,160,1,0,0,150,0,0,0,0
501,C,1,0,0,145,1,1,0,160,0,0,0,0
502,B,1,1,0,155,1,1,1,145,0,0,0,0
503,A,1,1,1,150,1,0,1,160,0,0,0,0
504,A,1,0,0,150,1,0,0,145,0,0,0,0
505,C,1,0,1,155,1,1,1,150,0,0,0,0
506,A,1,1,1,145,1,1,0,155,0,0,0,0
507,C,1,0,1,160,1,0,1,155,0,0,0,0
508,C,1,1,0,160,1,0,0,150,0,0,0,0
601,A,1,0,0,145,1,1,0,160,0,0,0,0
602,C,1,1,0,155,1,1,1,145,0,0,0,0
603,C,1,1,1,150,1,0,1,160,0,0,0,0
604,C,1,0,0,150,1,0,0,145,0,0,0,0
605,C,1,0,1,155,1,1,1,150,0,0,0,0
606,A,1,1,1,145,1,1,0,155,0,0,0,0
607,C,1,0,1,160,1,0,1,155,0,0,0,0
608,C,1,1,0,160,1,0,0,150,0,0,0,0
701,C,1,0,0,145,1,1,0,160,0,0,0,0
702,C,1,1,0,155,1,1,1,145,0,0,0,0
703,C,1,1,1,150,1,0,1,160,0,0,0,0
704,A,1,0,0,150,1,0,0,145,0,0,0,0
705,B,1,0,1,155,1,1,1,150,0,0,0,0
706,A,1,1,1,145,1,1,0,155,0,0,0,0
707,C,1,0,1,160,1,0,1,155,0,0,0,0
708,C,1,1,0,160,1,0,0,150,0,0,0,0
801,B,1,0,0,145,1,1,0,160,0,0,0,0
802,B,1,1,0,155,1,1,1,145,0,0,0,0
803,C,1,1,1,150,1,0,1,160,0,0,0,0
804,B,1,0,0,150,1,0,0,145,0,0,0,0
805,B,1,0,1,155,1,1,1,150,0,0,0,0
806,C,1,1,1,145,1,1,0,155,0,0,0,0
807,C,1,0,1,160,1,0,1,155,0,0,0,0
808,A,1,1,0,160,1,0,0,150,0,0,0,0
901,C,1,0,0,145,1,1,0,160,0,0,0,0
902,B,1,1,0,155,1,1,1,145,0,0,0,0
903,B,1,1,1,150,1,0,1,160,0,0,0,0
904,B,1,0,0,150,1,0,0,145,0,0,0,0
905,B,1,0,1,155,1,1,1,150,0,0,0,0
906,A,1,1,1,145,1,1,0,155,0,0,0,0
907,C,1,0,1,160,1,0,1,155,0,0,0,0
908,B,1,1,0,160,1,0,0,150,0,0,0,0
1001,C,1,0,0,145,1,1,0,160,0,0,0,0
1002,A,1,1,0,155,1,1,1,145,0,0,0,0
1003,C,1,1,1,150,1,0,1,160,0,0,0,0
1004,C,1,0,0,150,1,0,0,145,0,0,0,0
1005,B,1,0,1,155,1,1,1,150,0,0,0,0
1006,B,1,1,1,145,1,1,0,155,0,0,0,0
1007,C,1,0,1,160,1,0,1,155,0,0,0,0
1008,C,1,1,0,160,1,0,0,150,0,0,0,0
