"year","post","treat","sales"
"y70",0,0,115.97
"y70",0,1,123
"y71",0,0,118.67
"y71",0,1,121
"y72",0,0,121.58
"y72",0,1,123.5
"y73",0,0,123.57
"y73",0,1,124.4
"y74",0,0,127.76
"y74",0,1,126.7
"y75",0,0,129.19
"y75",0,1,127.1
"y76",0,0,133.15
"y76",0,1,128
"y77",0,0,134.59
"y77",0,1,126.4
"y78",0,0,135.18
"y78",0,1,126.1
"y79",0,0,133.74
"y79",0,1,121.9
"y80",0,0,134.86
"y80",0,1,120.2
"y81",0,0,134.55
"y81",0,1,118.6
"y82",0,0,133.49
"y82",0,1,115.4
"y83",0,0,129.25
"y83",0,1,110.8
"y84",0,0,123.68
"y84",0,1,104.8
"y85",0,0,122.72
"y85",0,1,102.8
"y86",0,0,121.06
"y86",0,1,99.7
"y87",0,0,116.87
"y87",0,1,97.5
"y88",1,0,113.91
"y88",1,1,90.1
"y89",1,0,110.42
"y89",1,1,82.4
"y90",1,0,105.91
"y90",1,1,77.8
"y91",1,0,103.94
"y91",1,1,68.7
"y92",1,0,102.72
"y92",1,1,67.5
