id,experiment,choice,haccp.A,eco.A,bb.A,haccp.B,eco.B,bb.B,haccp.C,eco.C,bb.C
1,1,B,1,0,1,0,1,1,0,0,0
1,2,A,1,0,0,1,1,0,0,0,0
1,3,B,0,0,1,0,0,0,0,0,0
1,4,A,0,1,1,0,0,1,0,0,0
1,5,A,0,0,0,0,1,0,0,0,0
1,6,B,1,1,0,1,0,0,0,0,0
1,7,B,0,1,0,1,1,1,0,0,0
1,8,A,1,1,1,1,0,1,0,0,0
2,1,A,1,0,1,0,1,1,0,0,0
2,2,B,1,0,0,1,1,0,0,0,0
2,3,C,0,0,1,0,0,0,0,0,0
2,4,C,0,1,1,0,0,1,0,0,0
2,5,C,0,0,0,0,1,0,0,0,0
2,6,A,1,1,0,1,0,0,0,0,0
2,7,B,0,1,0,1,1,1,0,0,0
2,8,A,1,1,1,1,0,1,0,0,0
3,1,B,1,0,1,0,1,1,0,0,0
3,2,B,1,0,0,1,1,0,0,0,0
3,3,C,0,0,1,0,0,0,0,0,0
3,4,A,0,1,1,0,0,1,0,0,0
3,5,B,0,0,0,0,1,0,0,0,0
3,6,A,1,1,0,1,0,0,0,0,0
3,7,A,0,1,0,1,1,1,0,0,0
3,8,A,1,1,1,1,0,1,0,0,0
4,1,B,1,0,1,0,1,1,0,0,0
4,2,C,1,0,0,1,1,0,0,0,0
4,3,A,0,0,1,0,0,0,0,0,0
4,4,A,0,1,1,0,0,1,0,0,0
4,5,C,0,0,0,0,1,0,0,0,0
4,6,C,1,1,0,1,0,0,0,0,0
4,7,B,0,1,0,1,1,1,0,0,0
4,8,A,1,1,1,1,0,1,0,0,0
5,1,A,1,0,1,0,1,1,0,0,0
5,2,B,1,0,0,1,1,0,0,0,0
5,3,C,0,0,1,0,0,0,0,0,0
5,4,C,0,1,1,0,0,1,0,0,0
5,5,C,0,0,0,0,1,0,0,0,0
5,6,A,1,1,0,1,0,0,0,0,0
5,7,B,0,1,0,1,1,1,0,0,0
5,8,A,1,1,1,1,0,1,0,0,0
6,1,B,1,0,1,0,1,1,0,0,0
6,2,B,1,0,0,1,1,0,0,0,0
6,3,C,0,0,1,0,0,0,0,0,0
6,4,A,0,1,1,0,0,1,0,0,0
6,5,B,0,0,0,0,1,0,0,0,0
6,6,A,1,1,0,1,0,0,0,0,0
6,7,A,0,1,0,1,1,1,0,0,0
6,8,A,1,1,1,1,0,1,0,0,0
7,1,A,1,0,1,0,1,1,0,0,0
7,2,B,1,0,0,1,1,0,0,0,0
7,3,C,0,0,1,0,0,0,0,0,0
7,4,C,0,1,1,0,0,1,0,0,0
7,5,C,0,0,0,0,1,0,0,0,0
7,6,A,1,1,0,1,0,0,0,0,0
7,7,B,0,1,0,1,1,1,0,0,0
7,8,A,1,1,1,1,0,1,0,0,0
8,1,B,1,0,1,0,1,1,0,0,0
8,2,B,1,0,0,1,1,0,0,0,0
8,3,C,0,0,1,0,0,0,0,0,0
8,4,A,0,1,1,0,0,1,0,0,0
8,5,B,0,0,0,0,1,0,0,0,0
8,6,A,1,1,0,1,0,0,0,0,0
8,7,A,0,1,0,1,1,1,0,0,0
8,8,A,1,1,1,1,0,1,0,0,0
9,1,B,1,0,1,0,1,1,0,0,0
9,2,C,1,0,0,1,1,0,0,0,0
9,3,A,0,0,1,0,0,0,0,0,0
9,4,A,0,1,1,0,0,1,0,0,0
9,5,C,0,0,0,0,1,0,0,0,0
9,6,C,1,1,0,1,0,0,0,0,0
9,7,B,0,1,0,1,1,1,0,0,0
9,8,A,1,1,1,1,0,1,0,0,0
10,1,B,1,0,1,0,1,1,0,0,0
10,2,B,1,0,0,1,1,0,0,0,0
10,3,C,0,0,1,0,0,0,0,0,0
10,4,A,0,1,1,0,0,1,0,0,0
10,5,B,0,0,0,0,1,0,0,0,0
10,6,A,1,1,0,1,0,0,0,0,0
10,7,A,0,1,0,1,1,1,0,0,0
10,8,A,1,1,1,1,0,1,0,0,0
