"TERM","F20","F30","F40","F50","F60","F70","M20","M30","M40","M50","M60","M70","sum"
"いい",5,7,1,4,1,0,0,1,0,1,2,0,22
"うれしい",2,1,0,3,1,0,0,0,0,0,0,0,7
"ない",3,5,3,2,8,0,0,1,1,4,1,2,30
"よい",5,2,2,2,2,1,0,1,0,1,2,1,19
"わかる",4,2,1,2,3,1,1,0,1,2,3,0,20
"ゴミ",1,1,0,1,0,0,0,0,1,1,2,0,7
"タクシー",9,4,1,0,1,1,0,2,1,1,1,0,21
"ツアー",0,0,2,1,5,0,0,0,2,0,1,0,11
"トイレ",0,3,0,0,1,0,1,2,0,0,0,0,7
"バス",2,2,5,4,10,1,4,4,5,3,3,1,44
"ホテル",2,7,3,6,12,0,1,0,0,4,2,0,37
"マナー",4,5,0,0,0,0,0,0,1,0,3,0,13
"モノレール",0,0,0,0,0,0,1,0,5,1,3,0,10
"レンタカー",2,3,0,3,3,0,2,0,0,2,1,0,16
"乗る",1,0,2,1,2,1,1,0,0,0,0,0,8
"交通",6,2,0,0,1,0,0,5,2,3,3,1,23
"人",10,10,2,14,2,1,1,6,3,4,3,3,59
"住む",2,1,0,1,1,0,0,0,1,1,0,0,7
"入る",1,2,0,3,0,0,0,1,0,0,0,0,7
"出す",1,2,1,3,0,0,0,0,1,0,0,1,9
"出来る",2,1,0,2,2,0,0,1,0,1,1,0,10
"北部",1,2,1,0,0,0,0,3,0,0,1,0,8
"印象",0,4,0,2,0,0,0,0,0,1,2,0,9
"古い",0,1,0,1,0,0,0,0,2,1,2,0,7
"団体",0,0,0,0,5,0,0,0,0,1,1,0,7
"場所",3,0,0,1,0,0,0,2,1,2,0,0,9
"多い",7,7,1,9,1,2,2,2,3,1,4,5,44
"天気",1,0,1,1,0,0,0,1,1,1,0,1,7
"守る",2,1,0,2,1,0,0,0,1,2,2,1,12
"客",1,4,2,2,2,0,1,0,3,0,2,2,19
"少ない",0,1,1,3,2,1,1,0,0,4,2,1,16
"島",2,0,1,2,2,0,0,0,1,1,2,0,11
"市内",1,3,3,1,1,1,0,2,1,0,1,0,14
"店",1,3,0,5,0,0,0,2,0,0,3,0,14
"悪い",4,4,0,1,2,0,0,1,3,0,2,0,17
"情報",4,5,0,0,2,0,0,0,0,0,1,0,12
"感じる",3,3,2,2,1,1,0,2,2,3,0,1,20
"文化",0,1,0,0,0,1,0,1,3,0,2,0,8
"料金",0,0,1,0,1,0,0,0,2,1,2,0,7
"本島",3,0,0,2,3,0,0,0,1,1,1,2,13
"来る",6,1,1,1,2,0,0,2,1,0,1,1,16
"楽しい",3,0,3,4,5,0,0,1,0,1,0,0,17
"標識",1,0,1,1,1,1,0,0,0,0,3,1,9
"残す",0,0,0,1,1,0,0,1,4,2,2,0,11
"水族館",1,2,3,0,2,0,0,0,1,1,1,0,11
"海",10,11,3,10,6,0,0,1,4,3,2,4,54
"無い",1,1,1,3,2,0,0,1,1,1,1,0,12
"環境",1,1,0,1,0,0,0,0,1,4,1,0,9
"目立つ",0,2,0,0,0,0,0,0,3,1,0,1,7
"県",0,0,0,1,2,0,0,0,3,1,1,1,9
"石垣",2,1,0,0,1,0,0,1,0,0,1,2,8
"空港",1,3,2,3,4,0,0,0,0,1,1,1,16
"素晴らしい",1,1,1,3,1,0,0,1,1,2,1,1,13
"美",0,2,3,0,0,0,0,0,1,0,0,1,7
"美しい",1,3,0,9,2,1,0,2,1,4,3,1,27
"美味しい",0,3,1,0,2,0,0,0,0,1,0,1,8
"考える",1,1,1,0,3,0,0,2,4,1,2,1,16
"自分",3,0,1,2,1,1,0,0,0,0,0,0,8
"良い",2,4,0,6,7,0,2,2,2,3,5,3,36
"行う",1,2,2,0,1,0,0,1,2,3,1,1,14
"行く",7,13,4,9,5,0,0,2,3,2,3,1,49
"見る",1,1,2,2,4,0,0,1,0,1,2,0,14
"言う",1,2,0,2,2,0,0,0,0,0,0,0,7
"訪れる",0,0,0,1,3,0,0,1,0,2,0,0,7
"買う",0,0,0,4,4,0,0,0,0,0,0,0,8
"車",2,2,1,4,0,0,2,1,0,1,1,0,14
"道",2,0,1,0,0,1,2,1,0,0,0,0,7
"道路",1,4,1,3,1,2,1,1,2,7,2,0,25
"雨",2,0,0,1,0,0,1,0,0,1,0,2,7
"飛行機",0,0,1,1,0,1,0,1,0,0,2,1,7
"食べる",1,1,0,2,3,0,0,0,0,0,0,0,7
"高い",0,1,0,1,1,0,0,2,1,0,1,1,8
