"N1","N2","freq"
"きれい","海",4
"の","残念",4
"の","沖縄",4
"ら","海",7
"わかる","にくい",6
"わかる","やすい",5
"ガイド","さん",5
"タクシー","運転",6
"バス","ガイド",4
"プロ","野球",5
"マナー","悪い",8
"交通","マナー",5
"交通","渋滞",5
"人","たち",9
"人","多い",9
"今回","旅行",5
"今回","沖縄",4
"何","度",5
"回","目",4
"団体","旅行",5
"国際","通り",5
"年","前",6
"悪い","さ",4
"来る","とき",4
"沖縄","人",8
"沖縄","大好き",4
"沖縄","料理",9
"沖縄","旅行",6
"沖縄","県",4
"沖縄","自然",6
"沖縄","行く",4
"沖縄","観光",5
"海","水族館",6
"海","美しい",5
"渋滞","解消",4
"美","ら",7
"美しい","さ",7
"美しい","海",8
"美しい","自然",6
"自然","人",4
"自然","残す",5
"行う","みる",5
"行く","の",6
"観光","バス",10
"観光","地",23
"観光","客",16
"運転","手",9
"道路","整備",4
"那覇","市内",6
"里","城",5
"野球","キャンプ",5
"首","里",5
"駐車","場",4
"高速","道路",4
