"","Apple8","AppleSE","FitbitC5","GarminFA","HuaweiB7","HuaweiGT3","Pixel","XiaomiB7"
"amazon",2,2,2,1,0,0,2,0
"android",0,0,0,0,1,0,7,1
"apple",7,1,3,1,2,2,15,2
"applewatch",0,2,0,1,0,0,5,2
"as",0,0,0,0,0,0,7,0
"band",0,0,0,0,9,2,0,1
"charge",0,0,6,0,0,0,1,0
"fitbit",0,0,5,0,0,0,13,0
"galaxy",0,0,6,0,1,0,3,0
"garmin",0,0,0,12,0,0,4,0
"google",0,0,0,0,1,0,15,0
"gps",0,0,5,11,1,0,2,0
"gt",0,0,0,0,0,11,0,0
"huawei",0,0,0,0,9,6,1,0
"iphone",4,7,0,0,7,4,1,2
"is",0,0,0,0,0,0,7,0
"it",0,0,0,0,0,0,11,0
"m",0,0,2,0,23,0,0,0
"on",0,0,3,1,0,0,4,4
"pixel",0,0,0,0,0,0,14,0
"se",5,3,0,0,0,0,0,0
"suica",2,1,6,0,0,1,6,0
"watch",7,1,3,1,1,4,27,2
"アウト",0,0,0,0,3,3,1,2
"アップデート",0,0,6,0,1,0,6,0
"アップルウォッチ",4,3,0,0,0,3,0,0
"あと",0,0,4,1,0,2,3,1
"アナログ",1,0,0,0,0,5,0,2
"アプリ",0,1,14,10,6,10,2,5
"いい",2,3,3,3,2,4,4,5
"ウォッチ",1,2,0,0,4,0,1,0
"カード",0,0,2,0,0,0,7,0
"カロリー",0,2,0,3,4,0,0,1
"サイズ",1,1,1,1,1,1,2,2
"ジョギング",0,0,0,2,1,6,0,1
"しれる",1,0,2,6,0,4,2,3
"ストレス",0,0,1,2,2,1,0,3
"スマ",1,1,4,2,6,1,3,3
"スマート",0,0,0,0,1,1,3,4
"スマートウォッチ",0,0,5,4,7,7,15,3
"スマホ",1,0,1,5,5,4,2,2
"センサー",0,0,0,5,0,0,2,0
"つく",1,0,3,1,0,1,3,1
"つける",1,5,3,2,2,2,2,3
"ディスプレイ",0,0,2,5,0,1,5,0
"データ",0,1,1,5,2,4,1,0
"デジタル",0,0,0,0,0,2,1,4
"ない",3,6,11,6,6,9,19,6
"バッテリー",10,6,7,4,5,10,10,8
"バンド",0,1,9,1,10,6,6,8
"ペア",1,0,0,0,3,0,1,4
"ベルト",0,0,5,6,2,6,3,1
"ホ",1,1,4,2,5,1,2,2
"モデル",0,0,2,6,1,0,1,0
"やる",0,1,0,1,1,3,0,1
"よい",1,0,5,1,3,2,0,2
"ラップ",0,0,2,2,6,0,0,0
"ランニング",0,0,1,5,0,0,0,1
"リング",1,0,0,0,3,0,1,4
"ワーク",0,0,0,0,3,3,1,2
"わかる",4,0,5,3,2,5,2,1
