"","S1","S2","S3","S4","S5"
"a",6,0,2,2,1
"amazon",1,0,2,2,7
"android",0,0,13,8,4
"bluetooth",5,7,4,3,2
"fi",5,0,2,2,8
"fire",2,1,2,0,5
"g",0,0,1,4,10
"gb",0,1,2,10,11
"ghz",7,0,0,3,1
"google",4,0,1,2,0
"hd",0,0,1,1,5
"ipad",0,0,0,3,10
"m",0,0,1,7,6
"p",0,0,2,1,10
"pro",0,0,0,5,3
"sd",0,0,2,2,5
"tablet",1,1,8,0,0
"teclast",1,0,1,7,4
"the",4,0,5,0,0
"u",1,0,5,0,1
"usb",0,0,1,9,1
"wi",5,0,2,2,8
"wifi",1,2,4,7,6
"youtube",2,1,7,7,10
"あと",1,2,1,3,1
"アプリ",9,7,16,7,6
"いい",3,0,5,4,14
"インストール",3,3,4,0,1
"カード",0,0,1,3,4
"かかる",2,0,2,2,3
"カク",2,0,2,3,3
"カメラ",0,0,5,3,1
"ガラス",3,0,4,5,1
"ケース",4,0,1,1,2
"ゲーム",2,1,7,9,18
"コス",0,0,2,4,4
"しれる",0,0,2,1,5
"ストレージ",0,1,3,2,4
"ストレス",0,2,0,0,6
"スピーカー",5,0,2,7,2
"スペック",0,1,2,4,7
"スマ",2,0,3,6,2
"スマホ",1,1,6,2,4
"スリープ",0,2,6,0,0
"セール",0,0,0,8,1
"タイム",0,0,0,6,2
"タブ",0,0,0,4,3
"タブレット",6,4,12,25,30
"つく",0,0,3,3,1
"ない",8,3,16,17,28
"ネット",3,0,3,0,3
"パ",0,0,2,4,4
"バッテリー",8,3,17,25,14
"ビデオ",1,1,0,4,1
"フィルム",6,0,5,11,7
"プライム",0,2,1,3,2
"ポイント",2,0,0,3,3
"ボタン",3,0,6,2,3
"メーカー",3,0,6,3,11
"メモリ",0,1,0,1,8
"モデル",0,0,0,3,4
"モバイル",0,0,3,2,4
"やる",1,0,0,6,2
"よい",1,0,1,2,3
"わかる",0,1,2,4,2
"悪い",11,0,16,14,6
"安い",6,2,4,14,7
"一つ",1,0,1,4,1
"液晶",3,2,2,0,1
"押す",2,0,2,3,0
"音",1,2,4,7,2
"音質",1,0,4,5,6
"下",4,0,1,2,0
"価格",0,3,4,11,10
"画質",4,0,11,12,13
"画像",0,1,1,4,2
"画面",11,7,14,17,11
"回線",0,0,7,1,6
"壊れる",4,0,0,2,2
"格安",0,0,0,6,2
"楽天",0,0,5,0,3
"感じ",1,1,3,8,4
"感じる",0,1,2,5,5
"感度",0,0,3,1,3
"機種",1,0,5,1,3
"気",0,0,7,5,5
"気に入る",1,0,2,3,1
"気泡",1,0,5,1,0
"繋がる",3,0,4,1,2
"軽い",3,0,7,12,9
"見る",5,1,11,8,13
"見れる",3,0,5,0,5
"減る",0,2,16,9,7
"言う",2,0,2,6,2
"言える",0,0,3,2,2
"個人",0,0,2,2,7
"考える",2,0,5,2,3
"高い",1,0,1,4,6
"最初",3,1,1,6,2
"使う",9,5,20,16,27
"使える",10,8,9,14,15
"子供",1,0,2,10,3
"持つ",2,2,9,12,11
"次",0,2,1,5,0
"自体",2,2,2,1,1
"自分",0,3,0,8,5
"重い",3,4,8,10,6
"出る",2,1,6,3,4
"出来る",6,3,2,10,15
"初期",2,0,6,9,2
"書籍",0,1,6,1,4
"商品",4,3,6,7,10
"状態",0,2,5,0,1
"人",0,0,6,2,0
"性能",2,0,5,12,4
"星",1,1,0,5,1
"製品",3,4,4,2,4
"早い",0,1,9,8,5
"速い",0,0,6,2,4
"速度",2,0,3,2,1
"他",2,2,4,3,5
"大きい",2,2,2,3,7
"探す",1,1,0,4,3
"端末",3,3,1,1,4
"値段",5,2,13,11,12
"遅い",5,2,2,3,6
"中華",0,0,1,7,2
"貼る",4,0,7,3,6
"電源",4,2,6,0,1
"電子",0,0,6,1,3
"電池",0,4,7,3,3
"動く",4,4,6,8,11
"動画",7,3,11,3,18
"読む",1,0,2,2,2
"届く",0,0,5,5,0
"日本",0,0,0,2,5
"入る",4,2,4,2,4
"入れる",1,1,2,4,2
"買う",15,4,10,9,16
"比べる",0,0,1,1,7
"不満",0,1,4,6,5
"付く",0,0,5,2,0
"分かる",1,2,1,3,4
"本体",1,0,1,4,1
"無い",6,2,2,9,5
"目的",2,4,2,1,9
"余裕",0,1,1,2,3
"容量",0,0,2,6,9
"用途",0,0,2,2,3
"落ちる",3,2,1,5,1
"良い",5,3,14,26,27
"良品",5,1,1,0,0
