date,num,holiday
2015-04-01,229,0
2015-04-02,249,0
2015-04-03,267,0
2015-04-04,109,0
2015-04-05-,79,0
2015-04-06-,263,0
2015-04-07,216,0
2015-04-08,224,0
2015-04-09,243,0
2015-04-10,228,0
2015-04-11,121,0
2015-04-12,75,0
2015-04-13,229,0
2015-04-14,192,0
2015-04-15,229,0
2015-04-16,256,0
2015-04-17,205,0
2015-04-18,101,0
2015-04-19,113,0
2015-04-20,198,0
2015-04-21,232,0
2015-04-22,231,0
2015-04-23,244,0
2015-04-24,229,0
2015-04-25,102,0
2015-04-26,83,0
2015-04-27,243,0
2015-04-28,221,0
2015-04-29,94,1
2015-04-30,230,0
2015-05-01,218,0
2015-05-02,114,0
2015-05-03,99,0
2015-05-04,92,1
2015-05-05,84,1
2015-05-06-,74,1
2015-05-07,258,0
2015-05-08,228,0
2015-05-09,103,0
2015-05-10,108,0
2015-05-11,235,0
2015-05-12,203,0
2015-05-13,251,0
2015-05-14,224,0
2015-05-15,218,0
2015-05-16,108,0
2015-05-17,101,0
2015-05-18,230,0
2015-05-19,211,0
2015-05-20,217,0
2015-05-21,253,0
2015-05-22,247,0
2015-05-23,101,0
2015-05-24,68,0
2015-05-25,225,0
2015-05-26,270,0
2015-05-27,242,0
2015-05-28,295,0
2015-05-29,229,0
2015-05-30,143,0
2015-05-31,110,0
2015-06-01,270,0
2015-06-02,272,0
2015-06-03,229,0
2015-06-04,291,0
2015-06-05,254,0
2015-06-06,156,0
2015-06-07,104,0
2015-06-08,253,0
2015-06-09,213,0
2015-06-10,258,0
2015-06-11,243,0
2015-06-12,230,0
2015-06-13,111,0
2015-06-14,87,0
2015-06-15,240,0
2015-06-16,230,0
2015-06-17,211,0
2015-06-18,232,0
2015-06-19,177,0
2015-06-20,123,0
2015-06-21,77,0
2015-06-22,233,0
2015-06-23,240,0
2015-06-24,219,0
2015-06-25,266,0
2015-06-26,242,0
2015-06-27,130,0
2015-06-28,99,0
2015-06-29,218,0
2015-06-30,266,0
