date,num,leap,holiday
2011-1,2148210,0,11
2011-2,2320620,0,9
2011-3,1832380,0,9
2011-4,1270010,0,10
2011-5,1961190,0,12
2011-6,2249470,0,8
2011-7,2870520,0,11
2011-8,3401610,0,8
2011-9,2888690,0,10
2011-10,2558220,0,11
2011-11,1805360,0,10
2011-12,1987490,0,10
2012-1,2109240,0,11
2012-2,2106690,1,8
2012-3,2014580,0,10
2012-4,1511590,0,10
2012-5,2158760,0,10
2012-6,2523240,0,9
2012-7,3019180,0,10
2012-8,3548000,0,8
2012-9,2836290,0,11
2012-10,2731560,0,9
2012-11,1921630,0,9
2012-12,2111120,0,11
2013-1,2098160,0,10
2013-2,2278420,0,9
2013-3,2146550,0,11
2013-4,1609610,0,9
2013-5,2296480,0,10
2013-6,2687180,0,10
2013-7,3479390,0,9
2013-8,4001680,0,9
2013-9,3199070,0,11
2013-10,2836240,0,9
2013-11,2100760,0,10
2013-12,2236940,0,10
2014-1,2341600,0,10
2014-2,2415450,0,9
2014-3,2322660,0,11
2014-4,1645060,0,9
2014-5,2527300,0,11
2014-6,2606660,0,9
2014-7,3308490,0,9
2014-8,3633000,0,10
2014-9,2993090,0,10
2014-10,2725630,0,9
2014-11,2130200,0,12
2014-12,2329930,0,9
2015-1,2393470,0,11
2015-2,2600850,0,9
2015-3,2344590,0,9
2015-4,1765940,0,9
2015-5,2585220,0,13
2015-6,2755130,0,8
2015-7,3480910,0,9
2015-8,3772580,0,10
2015-9,3161160,0,11
2015-10,2992960,0,10
2015-11,2183590,0,11
2015-12,2554670,0,9
2016-1,2724880,0,12
2016-2,2850160,1,9
2016-3,2461730,0,9
2016-4,1967450,0,10
2016-5,2580950,0,12
2016-6,2848940,0,8
2016-7,3479170,0,11
2016-8,3723560,0,9
2016-9,3179770,0,10
2016-10,2918530,0,11
2016-11,2174530,0,10
2016-12,2644810,0,10
2017-1,2920690,0,11
2017-2,2910270,0,8
2017-3,2665550,0,9
2017-4,2120350,0,10
2017-5,2795280,0,11
2017-6,3022820,0,8
2017-7,3660520,0,11
2017-8,3976140,0,9
2017-9,3278760,0,10
2017-10,3081160,0,10
2017-11,2334600,0,10
2017-12,2790820,0,10
2018-1,3017390,0,10
2018-2,3084420,0,9
2018-3,2740050,0,10
2018-4,2135820,0,10
2018-5,2731360,0,10
2018-6,3095940,0,9
2018-7,3626480,0,10
2018-8,3952410,0,8
2018-9,2547810,0,12
2018-10,2886370,0,9
2018-11,2505860,0,9
2018-12,2984680,0,11
2019-1,3195090,0,10
2019-2,3211400,0,9
2019-3,2878620,0,11
2019-4,2415820,0,10
2019-5,3016680,0,12
2019-6,3086700,0,10
2019-7,3634090,0,9
2019-8,3916250,0,10
2019-9,3247260,0,11
2019-10,3046530,0,10
2019-11,2458660,0,10
2019-12,2876320,0,9
2020-1,3005740,0,10
2020-2,2432380,1,11
2020-3,951200,0,10
2020-4,542920,0,9
2020-5,436840,0,13
2020-6,786910,0,8
2020-7,1475290,0,10
2020-8,1951800,0,11
2020-9,1999610,0,10
2020-10,2291050,0,9
2020-11,1547130,0,11
2020-12,1044220,0,8
