年,月,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
year,month,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47
2012,1,2109240,250120,489940,730140,199630,380880,787130,332950,565160,614990,252390,1429240,3603450,1252190,802610,211780,513610,260540,381900,1682880,403060,1472990,959380,560520,249850,931380,1635130,925410,86970,266000,208060,154650,301990,516960,265150,108580,218600,280890,179310,976700,184240,407120,465460,434040,270290,464670,906820
2012,2,2106690,266950,491170,758250,196370,410040,794250,362250,506740,548920,267330,1388950,3744270,1233040,830390,216940,528400,273490,369430,1495950,422220,1441580,954960,508450,245620,899000,1589570,925230,94550,255990,201940,166370,303780,558430,278480,120170,234970,300820,199920,998760,187370,430100,481230,441890,341070,507790,1162780
2012,3,2014580,276430,546390,882880,237400,440490,860660,470170,681040,659060,319770,1869970,4333750,1543440,807660,230170,604480,312180,541760,1361410,479320,1888680,1174070,714190,344880,1293200,2047080,1092910,182090,373410,240840,204150,432950,746630,357240,162210,368310,361400,289100,1181560,204020,558870,614120,560310,316390,631220,1232560
2012,4,1511590,274140,441170,753630,238990,353320,807190,408630,650560,571490,302800,1619290,4197890,1414960,611150,242760,536320,257790,538990,972450,440300,1542900,1117020,617960,358880,1497830,2132910,1000260,214760,327430,200230,206450,382270,674320,348050,171930,294510,318770,251140,1067130,206890,538460,565450,482610,267040,542290,1159540
2012,5,2158760,408730,582630,792770,345700,425410,896770,439770,849750,645560,310880,1668410,4111450,1476660,743910,294690,614160,285190,569130,1247690,477450,1625600,1123110,695920,358160,1523100,1964250,1010120,237470,356090,225170,252830,392260,720740,383880,166480,304070,332680,288190,1143660,218810,644910,676730,513690,310710,638690,1094750
2012,6,2523240,403040,560090,795690,334240,486200,948580,403740,754550,586450,277740,1546800,3916530,1331850,678950,239550,539510,232410,462560,996990,403990,1367130,1058120,547760,290770,1293550,1768120,896500,162980,269290,186880,213990,325190,621030,326010,130640,244910,280400,208500,1023040,168620,476080,487660,405610,240330,445980,1130170
2012,7,3019180,428330,560440,843200,296270,538430,882420,422910,877480,739560,314340,1637720,4089570,1349640,969320,350040,617220,309740,751080,1758610,475490,1737980,1112410,698600,407670,1262910,1958670,977000,198270,423320,250560,209400,406020,690360,349720,140560,306130,298080,252410,1157390,203850,528620,522820,471200,296280,553880,1550600
2012,8,3548000,567640,729380,1014870,423490,653200,1097980,589290,1319680,1148380,406080,2197710,4553530,1788430,1485160,545190,861260,532170,1291900,3335120,724800,2826050,1414720,1104060,608050,1626430,2339780,1398890,299250,711500,392980,297030,593610,947320,490810,210230,447980,385370,420280,1517610,274440,736340,795110,679270,412410,745110,1827290
2012,9,2836290,444900,531010,860690,302810,469180,873670,374660,871560,700560,285650,1509360,4071560,1382280,832640,354430,624430,262410,645830,1554500,503560,1493720,1116500,618120,341320,1309930,1790280,897340,186730,347140,242710,219200,397800,689560,378560,140170,291630,299650,231690,1120060,195940,517090,581220,494490,261520,549390,1465970
2012,10,2731560,496330,605110,895860,386380,537220,971690,407820,1006060,760460,332980,1460620,4138500,1454250,875380,384310,631130,256760,526040,1504160,606610,1539400,1138680,768620,334580,1490890,1967140,1010450,215580,314240,233330,257780,391720,718560,402510,167210,277550,325140,284820,1148940,212530,644880,654630,523090,297130,612600,1472340
2012,11,1921630,392280,520400,894470,293530,454260,890830,448510,937540,737860,341590,1453630,4159970,1516620,781170,309750,648000,295310,534070,1111390,499300,1688920,1127780,769160,383230,1702760,2084680,1107650,210620,337920,261690,264560,405700,732060,385680,175780,317060,336090,266590,1200370,230850,612590,683020,600590,335170,653140,1329200
2012,12,2111120,337570,459530,820110,205710,410940,774750,436380,742090,672080,325320,1540250,4269410,1491740,784180,239350,525260,258230,407820,1270130,394240,1661560,1129490,731340,294270,1409770,2066010,1111370,141310,300980,219930,180440,333940,604250,325940,126060,244370,278590,216410,1138900,196080,533420,561750,515840,279320,526160,1247340
2013,1,2098160,278770,408360,865260,205680,348760,733970,339040,623610,666770,284660,1412800,3699160,1215180,784360,212290,510540,196020,335390,1561590,398940,1544080,975400,672430,218820,1111080,1622540,967430,114830,286440,209180,165590,314940,491620,310070,135520,227200,240500,175830,980060,204110,418830,420800,489100,272810,496210,1520700
2013,2,2278420,274550,412720,920090,209100,390410,712390,357240,581040,655420,282660,1438410,3872930,1221490,823750,237470,568330,216760,339790,1480890,422690,1501310,966930,645000,219330,1180800,1747930,986390,118780,287530,223630,168340,320910,503490,321490,139280,248290,258580,199810,1008650,193050,515940,433160,500900,371690,532520,1768400
2013,3,2146550,288890,442020,1115510,229200,400500,796780,471180,777110,759240,339280,1844150,4500260,1544140,820710,250680,666630,253670,470480,1360590,477890,2041850,1199250,894360,316420,1655560,2106100,1172890,197250,417680,250530,218270,408550,654150,399330,190950,341320,321260,278420,1193770,231650,606580,553300,616680,353490,673170,2021690
2013,4,1609610,321820,387850,861520,236530,351570,764620,397370,708870,653680,328200,1595090,4474220,1312060,621800,267030,547070,225060,531290,1179850,460850,1586810,1137110,625270,375790,1838750,2015750,1013480,245250,329410,246910,231920,467500,663270,326670,212510,295240,274440,219620,1065460,213090,550120,634330,509550,260500,564560,1534660
2013,5,2296480,452380,461870,907970,324050,448020,820800,427890,861330,742980,319840,1675890,4363570,1346650,728540,321430,617360,277260,597490,1494500,507980,1628290,1190220,714030,369440,1976900,1879930,1052270,267460,341320,303610,294530,488680,717040,369880,209510,298100,305040,247510,1190240,225360,671550,724820,561450,292510,667600,1422690
2013,6,2687180,409840,434590,879690,315640,471320,834060,362640,788190,661170,296400,1546970,4185930,1213070,663910,275490,526380,244020,484440,1262020,441030,1379480,1099310,591050,294820,1742890,1776460,941230,196890,275790,254000,271360,415620,597000,322620,163840,233820,234090,178470,1014210,173590,476500,472580,438740,242410,510590,1464420
2013,7,3479390,456390,489950,879300,330880,511530,1040910,426530,824590,787120,372130,1871690,4507610,1404260,888090,352580,614480,300100,740840,1759420,513640,1696570,1254770,872510,367210,1639300,2009390,1137080,191230,426230,307280,312820,440010,662850,364940,188780,289510,314740,242000,1214780,225410,635580,560000,559060,310150,603490,1968780
2013,8,4001680,577860,666250,1116480,444530,690240,1348460,610870,1195820,1162180,445240,2384130,4987750,1870730,1276440,496510,878700,491100,1235110,2994440,740760,2823670,1591620,1278830,561260,2000750,2381500,1588830,283010,677400,435550,384280,611680,887560,489500,272820,461990,414940,396820,1551880,287680,939500,862980,740340,428350,795400,2366790
2013,9,3199070,453150,477540,934060,327940,455850,1044430,415490,800720,752280,326750,1699320,4381870,1411220,775330,382600,631630,257410,649050,1561160,510500,1555080,1216130,797020,345960,1651500,1930570,1022380,180660,347800,311380,310930,475470,698510,347230,191890,283040,297790,249810,1161780,220750,560050,601620,531060,270600,603020,1885840
2013,10,2836240,502430,516350,975510,359370,505480,942330,428310,918920,788250,328930,1611350,4653190,1381800,836600,398250,653670,241360,542890,1546190,574480,1564560,1332780,849960,326270,1778310,2091680,1033200,248020,318140,343060,328130,451220,733110,382000,185640,319460,321490,259390,1168170,226580,635320,615100,575500,284890,620410,1713580
2013,11,2100760,398860,469830,973510,284340,433990,903780,457290,914220,790670,332480,1635810,4592290,1483640,736450,348840,677980,283390,567300,1235000,553640,1822880,1376150,932560,381130,1982730,2147160,1148620,258210,391440,367900,331750,454130,742680,400720,201260,331050,346580,245410,1241740,236190,659710,644950,642590,344750,695010,1572720
2013,12,2236940,344810,423390,906090,225840,423030,805800,460320,722720,718750,317690,1682980,4605270,1436590,721000,278200,557160,264790,434720,1314910,440090,1778760,1313560,813420,298160,1528940,2172420,1162290,178630,342440,287260,256190,367950,591020,344640,164720,256170,269570,180620,1195840,199730,585000,533970,546110,283900,560570,1549340
2014,1,2341600,277230,451260,716050,226180,412490,762040,387250,627970,628040,288890,1539370,3900860,1359650,731010,207410,492930,245940,403750,1608390,427610,1502660,1128270,693590,276190,1082180,2051700,1037140,116460,295330,211090,211110,339240,573280,281640,156770,214860,241740,172900,1085460,207020,469980,493350,486440,250610,528660,1303530
2014,2,2415450,262240,435350,697680,213990,453510,707310,390510,530510,533860,291390,1496360,3981980,1321470,681280,212540,495800,258970,310490,1368630,393940,1397810,1130110,620320,255340,1090930,1941200,974840,116510,268870,197810,198740,331010,571980,283290,165050,205300,245460,171690,1075190,207920,543750,484290,479990,322680,536650,1477100
