Date,PI_A,PriceIndex_A,PriceIndex_B,Display_A,Display_B
2000/01/02,1.022 ,1.000 ,0.881 ,0,0
2000/01/03,1.199 ,1.000 ,0.881 ,0,0
2000/01/04,0.261 ,1.000 ,0.881 ,0,0
2000/01/05,0.618 ,1.000 ,0.881 ,0,0
2000/01/06,1.225 ,1.000 ,0.881 ,0,0
2000/01/07,0.987 ,1.000 ,0.881 ,0,0
2000/01/08,0.578 ,1.000 ,0.881 ,0,0
2000/01/09,0.756 ,1.000 ,0.881 ,0,0
2000/01/10,1.533 ,1.000 ,0.881 ,0,0
2000/01/11,1.414 ,1.000 ,0.881 ,0,0
2000/01/13,0.302 ,1.000 ,0.881 ,0,0
2000/01/14,2.134 ,1.000 ,0.881 ,0,0
2000/01/15,0.717 ,1.000 ,0.881 ,0,0
2000/01/16,0.246 ,1.000 ,0.881 ,0,0
2000/01/17,1.036 ,1.000 ,0.881 ,0,0
2000/01/18,1.815 ,1.000 ,0.881 ,0,0
2000/01/20,3.536 ,0.908 ,1.000 ,0,0
2000/01/21,5.256 ,0.908 ,1.000 ,0,0
2000/01/22,3.650 ,0.908 ,0.782 ,0,1
2000/01/23,4.163 ,0.896 ,0.801 ,0,1
2000/01/24,2.864 ,0.908 ,0.994 ,0,1
2000/01/25,4.584 ,0.908 ,1.000 ,0,0
2000/01/26,11.097 ,0.908 ,1.000 ,1,0
2000/01/27,8.359 ,0.908 ,1.000 ,1,0
2000/01/28,4.496 ,0.908 ,1.000 ,1,0
2000/01/29,21.033 ,0.714 ,1.000 ,1,0
2000/01/30,8.136 ,0.908 ,1.000 ,1,0
2000/01/31,1.896 ,0.908 ,1.000 ,1,0
2000/02/01,6.002 ,0.908 ,1.000 ,1,0
2000/02/02,6.519 ,0.908 ,1.000 ,1,0
2000/02/03,2.073 ,0.908 ,1.000 ,0,0
2000/02/04,5.253 ,0.908 ,1.000 ,1,0
2000/02/05,2.293 ,0.908 ,0.760 ,1,1
2000/02/06,8.153 ,0.893 ,0.974 ,1,0
2000/02/07,4.505 ,0.908 ,1.000 ,0,0
2000/02/08,3.960 ,0.908 ,1.000 ,1,0
2000/02/10,6.300 ,0.908 ,1.000 ,1,0
2000/02/11,4.541 ,0.903 ,1.000 ,0,0
2000/02/12,2.467 ,0.908 ,1.000 ,0,0
2000/02/13,6.279 ,0.908 ,1.000 ,0,0
2000/02/14,3.489 ,0.908 ,1.000 ,0,0
2000/02/15,3.133 ,0.908 ,1.000 ,0,0
2000/02/17,2.155 ,1.000 ,0.846 ,0,0
2000/02/18,0.323 ,1.000 ,0.846 ,0,0
2000/02/19,0.730 ,1.000 ,0.671 ,0,1
2000/02/20,2.109 ,1.000 ,0.846 ,0,1
2000/02/21,0.940 ,1.000 ,0.846 ,0,1
2000/02/22,1.263 ,1.000 ,0.846 ,0,0
2000/02/23,12.987 ,0.789 ,0.829 ,1,0
2000/02/24,7.424 ,0.803 ,0.846 ,0,0
2000/02/25,6.489 ,0.803 ,0.846 ,1,0
2000/02/26,9.016 ,0.791 ,0.623 ,1,1
2000/02/27,8.559 ,0.803 ,0.846 ,1,1
2000/02/28,7.721 ,0.803 ,0.846 ,1,1
2000/02/29,6.661 ,0.803 ,0.846 ,1,0
2000/03/01,6.234 ,0.803 ,0.846 ,1,0
2000/03/02,7.602 ,0.803 ,0.846 ,1,0
2000/03/03,7.745 ,0.803 ,0.846 ,1,0
2000/03/04,5.924 ,0.803 ,0.846 ,1,0
2000/03/05,9.420 ,0.803 ,0.846 ,1,0
2000/03/06,0.317 ,0.803 ,0.846 ,0,0
2000/03/07,0.752 ,1.000 ,0.846 ,0,0
2000/03/09,0.270 ,1.000 ,0.846 ,0,0
2000/03/10,0.905 ,1.000 ,0.846 ,0,0
2000/03/11,1.706 ,1.000 ,0.846 ,0,0
2000/03/12,0.486 ,1.000 ,0.846 ,0,0
2000/03/13,1.492 ,1.000 ,0.846 ,0,0
