番号	デザイン	画質	操作性	バッテリー	携帯性	機能性	液晶	ホールド感	満足度
1	4.78 	4.77 	4.72 	4.67 	4.64 	4.72 	4.84 	4.84 	4.97 
2	4.80 	4.80 	4.40 	4.00 	5.00 	4.80 	4.90 	4.40 	4.90 
3	4.02 	3.95 	3.83 	2.71 	3.30 	4.03 	4.71 	3.23 	4.64 
4	4.72 	4.66 	4.38 	4.29 	4.14 	4.77 	4.54 	4.39 	4.70 
5	4.60 	4.66 	4.24 	3.83 	4.42 	4.63 	4.72 	4.79 	4.81 
6	4.54 	4.77 	3.69 	4.22 	4.22 	4.51 	4.28 	3.96 	4.76 
7	4.51 	4.43 	4.13 	4.18 	4.77 	4.45 	4.38 	3.85 	4.72 
8	4.00 	4.90 	4.30 	2.05 	4.11 	3.51 	4.10 	3.61 	4.77 
9	4.73 	4.45 	4.64 	4.64 	3.91 	4.64 	4.73 	5.00 	4.73 
10	4.64 	4.82 	4.11 	4.36 	4.67 	4.72 	4.91 	3.48 	4.72 
