年,月,閏年ダミー,祝日数（土日除く）,消費税増税（2014年4月）,平日数,休日数,連休回数,最大連休日数
year,month,x2,x3,x8,x9,x10,x11,x12
2011,1,0,1,0,20,11,1,3
2011,2,0,1,0,19,9,1,3
2011,3,0,1,0,22,9,1,3
2011,4,0,1,0,20,10,0,0
2011,5,0,3,0,19,12,1,3
2011,6,0,0,0,22,8,0,0
2011,7,0,1,0,20,11,1,3
2011,8,0,0,0,23,8,0,0
2011,9,0,2,0,20,10,2,3
2011,10,0,1,0,20,11,1,3
2011,11,0,2,0,20,10,0,0
2011,12,0,1,0,21,10,1,3
2012,1,0,2,0,20,11,1,3
2012,2,1,0,0,21,8,0,0
2012,3,0,1,0,21,10,0,0
2012,4,0,1,0,20,10,0,0
2012,5,0,2,0,21,10,1,4
2012,6,0,0,0,21,9,0,0
2012,7,0,1,0,21,10,1,3
2012,8,0,0,0,23,8,0,0
2012,9,0,1,0,19,11,1,3
2012,10,0,1,0,22,9,1,3
2012,11,0,1,0,21,9,1,3
2012,12,0,1,0,20,11,1,3
2013,1,0,2,0,21,10,1,3
2013,2,0,1,0,19,9,1,3
2013,3,0,1,0,20,11,0,0
2013,4,0,1,0,21,9,1,3
2013,5,0,2,0,21,10,1,4
2013,6,0,0,0,20,10,0,0
2013,7,0,1,0,22,9,1,3
2013,8,0,0,0,22,9,0,0
2013,9,0,2,0,19,11,2,3
2013,10,0,1,0,22,9,1,3
2013,11,0,1,0,20,10,1,3
2013,12,0,1,0,21,10,1,3
2014,1,0,2,0,21,10,1,3
2014,2,0,1,0,19,9,0,0
2014,3,0,1,0,20,11,1,3
2014,4,0,1,1,21,9,0,0
2014,5,0,2,1,20,11,1,4
2014,6,0,0,1,21,9,0,0
2014,7,0,1,1,22,9,1,3
2014,8,0,0,1,21,10,0,0
2014,9,0,2,1,20,10,1,3
2014,10,0,1,1,22,9,1,3
2014,11,0,2,1,18,12,2,3
2014,12,0,1,1,22,9,0,0
2015,1,0,2,1,20,11,1,3
2015,2,0,1,1,19,9,0,0
2015,3,0,0,1,22,9,0,0
2015,4,0,1,1,21,9,0,0
2015,5,0,3,1,18,13,1,5
2015,6,0,0,1,22,8,0,0
2015,7,0,1,1,22,9,1,3
2015,8,0,0,1,21,10,0,0
2015,9,0,3,1,19,11,1,5
2015,10,0,1,1,21,10,1,3
2015,11,0,2,1,19,11,1,3
2015,12,0,1,1,22,9,0,0
2016,1,0,2,1,19,12,2,3
2016,2,1,1,1,20,9,0,0
2016,3,0,1,1,22,9,1,3
2016,4,0,1,1,20,10,0,0
2016,5,0,3,1,19,12,1,3
2016,6,0,0,1,22,8,0,0
2016,7,0,1,1,20,11,1,3
2016,8,0,1,1,22,9,0,0
2016,9,0,2,1,20,10,1,3
2016,10,0,1,1,20,11,1,3
2016,11,0,2,1,20,10,0,0
2016,12,0,1,1,21,10,1,3
2017,1,0,2,1,20,11,1,3
2017,2,0,0,1,20,8,0,0
2017,3,0,1,1,22,9,1,3
2017,4,0,0,1,20,10,0,0
2017,5,0,3,1,20,11,1,5
2017,6,0,0,1,22,8,0,0
2017,7,0,1,1,20,11,1,3
2017,8,0,1,1,22,9,1,3
2017,9,0,1,1,20,10,1,3
2017,10,0,1,1,21,10,1,3
2017,11,0,2,1,20,10,1,3
2017,12,0,0,1,21,10,0,0
2018,1,0,2,1,21,10,1,3
2018,2,0,1,1,19,9,1,3
2018,3,0,1,1,21,10,0,0
2018,4,0,1,1,20,10,0,0
2018,5,0,2,1,21,10,1,4
2018,6,0,0,1,21,9,0,0
2018,7,0,1,1,21,10,1,3
2018,8,0,0,1,23,8,0,0
2018,9,0,2,1,18,12,2,3
2018,10,0,1,1,22,9,1,3
2018,11,0,1,1,21,9,1,3
2018,12,0,1,1,20,11,1,3
2019,1,0,2,1,21,10,1,3
2019,2,0,1,1,19,9,1,3
2019,3,0,1,1,20,11,0,0
2019,4,0,2,1,20,10,0,0
2019,5,0,4,1,19,12,1,6
2019,6,0,0,1,20,10,0,0
2019,7,0,1,1,22,9,1,3
2019,8,0,1,1,21,10,1,3
2019,9,0,2,1,19,11,2,3
2019,10,0,2,1,21,10,1,3
2019,11,0,1,1,20,10,1,3
2019,12,0,0,1,22,9,0,0
2020,1,0,2,1,21,10,1,3
2020,2,1,2,1,18,11,1,3
2020,3,0,1,1,21,10,1,3
2020,4,0,1,1,21,9,0,0
2020,5,0,3,1,18,13,1,5
2020,6,0,0,1,22,8,0,0
2020,7,0,2,1,21,10,1,4
2020,8,0,1,1,20,11,1,3
2020,9,0,2,1,20,10,1,4
2020,10,0,0,1,22,9,0,0
2020,11,0,2,1,19,11,1,3
2020,12,0,0,1,23,8,0,0
