hour	h.choice income	age	edu	n1	n2	n3	race	home	lur
2000	5	 350	26	12	0	1	0	0	1	7
390	2	 241	29	8	0	1	1	0	1	4
1900	5	 160	33	10	0	2	0	0	1	7
0	1	 80	20	9	2	0	0	0	1	7
3177	6	 456	33	12	0	2	0	0	1	7
0	1	 390	22	12	2	0	0	0	1	7
0	1	 181	41	9	0	0	1	0	1	7
1040	3	 726	31	16	2	1	0	0	1	3
2040	5	 -5	33	12	0	3	0	0	0	4
0	1	 78	30	11	1	1	0	0	0	5
1432	4	 195	41	12	0	1	0	1	1	7
1544	4	 95	23	14	0	0	0	1	0	3
877	3	 351	32	16	0	0	0	0	1	7
0	1	 303	56	12	0	0	0	0	1	12
0	1	 513	35	12	1	1	0	0	1	12
1204	3	 133	30	14	0	0	0	0	1	7
336	2	 185	20	12	1	0	0	0	1	7
2500	6	 270	26	10	1	1	0	0	0	6
0	1	 100	24	12	1	0	0	1	0	7
1250	3	 131	20	12	0	0	0	0	0	4
632	2	 325	33	12	0	2	1	0	1	5
1062	3	 226	30	12	1	1	0	0	1	5
2104	5	 246	37	17	0	2	1	0	0	5
352	2	 364	39	12	0	1	1	0	1	5
2008	5	 142	54	12	0	0	0	0	1	5
0	1	 114	34	12	2	0	0	0	1	5
1780	5	 96	29	12	0	0	0	1	0	5
2244	5	 510	37	15	0	0	2	0	0	5
1009	3	 453	40	16	0	1	1	0	1	3
2420	6	 70	19	12	0	0	0	0	0	4
764	3	 303	26	12	3	0	0	0	1	7
1676	4	 141	25	8	2	1	0	0	1	7
2026	5	 679	33	12	0	2	0	0	1	6
2060	5	 50	31	8	0	2	0	0	0	6
2750	6	 172	26	15	0	0	0	0	1	3
1464	4	 127	25	16	0	0	0	0	0	3
1632	4	 410	25	17	0	0	0	0	1	6
1932	5	 260	46	12	0	2	0	0	1	4
1680	4	 175	44	12	0	0	1	0	1	4
0	1	 120	28	12	1	2	0	0	0	4
0	1	 159	32	12	0	1	0	0	0	8
2290	6	 80	48	13	0	0	0	0	0	8
444	2	 60	23	13	0	0	0	0	0	5
3050	6	 103	35	16	0	1	1	0	1	4
1850	5	 180	27	12	1	1	0	0	0	10
1293	4	 290	20	12	0	0	0	0	0	8
543	2	 146	27	12	1	0	0	0	0	9
1225	3	 169	20	11	0	0	0	0	1	5
0	1	 156	50	11	0	0	0	0	1	3
2056	5	 210	22	12	0	0	0	0	0	4
1952	5	 485	35	12	0	0	3	0	1	6
0	1	 190	40	12	0	2	0	0	1	6
1980	5	 483	43	15	0	0	0	0	1	3
870	3	 119	61	12	0	0	0	0	1	3
1495	4	 230	30	17	0	0	0	0	0	9
2133	5	 290	35	17	1	1	0	0	1	3
0	1	 325	53	10	0	0	0	0	1	2
0	1	 175	60	16	0	0	0	0	1	8
1326	4	 386	29	12	0	2	1	0	0	6
0	1	 384	51	9	0	0	0	0	1	6
0	1	 330	29	12	1	2	0	0	0	4
1560	4	 503	36	14	0	0	0	0	1	6
996	3	 800	36	14	0	2	0	0	1	6
1800	5	 334	47	12	0	0	1	0	1	6
0	1	 553	34	16	2	1	0	0	1	4
1920	5	 810	56	13	0	0	0	0	1	4
0	1	 306	35	10	1	2	1	0	1	4
1352	4	 260	23	12	1	0	0	0	1	4
0	1	 584	55	12	0	0	0	0	1	3
1944	5	 83	33	12	0	1	0	0	1	3
2184	5	 190	25	16	0	0	0	0	1	3
1770	5	 475	45	17	0	1	0	0	1	8
1432	4	 150	23	16	0	0	0	0	0	8
555	2	 366	48	16	0	0	1	0	1	8
24	2	 311	28	12	2	0	0	0	1	3
760	3	 714	54	12	0	0	0	0	1	3
1634	4	 37	40	16	0	2	0	0	0	3
1344	4	 174	39	14	0	1	0	0	1	3
0	1	 341	56	12	0	0	0	1	1	7
0	1	 645	41	13	0	2	0	0	1	3
0	1	 360	34	13	1	2	0	0	1	3
0	1	 380	31	12	2	1	0	0	0	3
158	2	 182	38	10	0	2	0	0	1	8
920	3	 304	30	16	1	0	0	0	1	4
0	1	 293	24	13	1	0	0	0	0	7
1968	5	 775	60	13	0	0	0	0	1	4
0	1	 408	27	17	1	0	0	0	1	7
1667	4	 217	37	15	2	0	0	0	0	5
2080	5	 317	42	10	0	0	0	0	1	6
1655	4	 293	37	12	0	2	1	0	1	4
1208	3	 430	32	12	1	1	0	0	1	4
1530	4	 306	23	11	0	0	0	0	1	4
0	1	 485	53	15	0	0	0	0	1	4
0	1	 142	60	0	0	0	0	0	0	7
2220	5	 248	51	10	0	0	0	0	1	7
0	1	 545	42	12	0	0	1	0	1	4
1648	4	 250	49	16	0	0	0	0	1	4
1000	3	 290	21	13	0	0	0	0	0	4
1960	5	 346	57	16	0	0	0	0	1	6
0	1	 1100	32	16	2	0	0	0	1	6
0	1	 1320	40	16	0	3	1	0	1	3
1750	4	 313	44	12	0	0	1	0	1	4
988	3	 337	55	12	0	0	0	0	1	4
0	1	 383	37	17	2	0	0	0	1	5
2000	5	 569	41	12	0	1	0	0	1	5
0	1	 557	36	16	2	2	0	0	1	6
0	1	 180	32	12	1	2	0	0	1	3
1930	5	 450	30	16	2	0	0	0	1	3
1584	4	 380	38	17	1	1	0	0	1	3
2070	5	 343	38	17	0	0	0	0	1	2
888	3	 146	23	12	1	0	0	0	1	8
0	1	 75	57	12	0	0	0	0	1	3
2120	5	 230	29	15	1	2	0	0	1	3
212	2	 231	26	12	1	0	0	0	1	3
856	3	 199	27	14	1	0	0	0	1	3
1750	4	 358	48	12	0	1	1	0	0	7
1897	5	 126	20	12	0	0	0	0	1	7
0	1	 290	25	12	1	0	0	0	1	4
0	1	 381	28	10	1	1	0	0	1	8
0	1	 450	37	17	1	1	0	0	1	4
2810	6	 1021	48	17	0	0	0	0	1	4
2000	5	 220	36	14	2	1	0	0	0	6
1896	5	 460	40	16	0	0	0	0	1	4
0	1	 67	26	14	3	2	0	0	0	6
1813	5	 280	53	16	0	0	0	0	1	6
759	3	 98	38	17	0	0	0	0	0	5
0	1	 1000	55	12	0	0	0	0	1	3
1575	4	 811	32	14	0	0	0	0	1	3
1653	4	 271	27	14	0	0	0	0	0	3
0	1	 504	30	16	1	0	0	0	1	5
1793	5	 396	41	12	0	0	1	0	1	3
1980	5	 225	38	12	0	1	0	0	1	4
180	2	 178	60	12	0	0	0	0	1	7
38	2	 301	32	12	2	1	0	0	1	5
2083	5	 82	37	15	0	0	1	0	0	8
258	2	 615	38	17	0	0	2	0	1	7
2084	5	 851	50	14	0	0	0	0	1	3
1512	4	 332	60	12	0	0	0	0	1	3
0	1	 603	34	14	2	0	0	0	1	2
2000	5	 350	32	16	0	0	0	0	1	4
1440	4	 80	41	16	0	1	0	0	1	3
1560	4	 1150	47	17	0	0	1	0	1	3
0	1	 237	28	13	1	0	1	0	1	7
1944	5	 430	38	16	1	2	0	1	1	3
1560	4	 602	34	17	1	1	0	0	1	6
0	1	 282	22	12	1	0	0	0	1	3
2024	5	 584	41	12	0	0	1	0	1	3
1815	5	 550	32	16	0	0	0	0	1	2
1920	5	 470	57	12	0	0	1	0	0	3
1560	4	 141	36	12	1	2	0	0	1	5
1757	5	 65	40	12	0	0	3	0	1	8
2112	5	 295	43	13	0	0	0	0	0	5
0	1	 380	27	12	2	0	0	0	0	5
1964	5	 137	24	14	1	0	0	0	1	4
1755	5	 271	40	17	1	1	0	0	1	4
2320	6	 44	24	12	1	0	0	0	0	5
0	1	 110	25	12	1	0	0	0	0	11
1200	3	 238	34	14	0	1	0	0	1	11
1960	5	 465	60	12	0	0	0	0	1	11
2940	6	 902	52	13	0	0	0	0	0	5
1336	4	 320	32	12	1	3	0	0	1	6
1822	5	 356	35	13	0	0	1	0	1	5
1968	5	 140	38	17	0	4	0	0	0	5
563	2	 47	26	12	3	1	0	1	0	6
1174	3	 73	55	8	0	0	0	1	1	9
624	2	 335	28	8	0	2	0	1	1	9
0	1	 122	24	12	3	0	0	0	0	9
644	2	 146	32	8	1	1	1	1	0	9
696	2	 97	24	9	0	2	0	1	0	9
57	2	 242	32	12	3	1	0	0	0	2
0	1	 350	59	10	0	0	0	0	1	1
585	2	 335	36	11	0	0	2	0	1	2
492	2	 558	35	12	0	2	1	0	1	2
0	1	 555	30	15	1	0	0	0	1	7
2222	5	 825	34	17	0	1	0	0	1	6
1360	4	 691	38	16	0	2	0	0	1	7
1555	4	 870	61	14	0	0	0	0	1	7
0	1	 197	35	12	0	3	0	0	1	5
0	1	 1000	36	14	2	0	0	0	1	5
1880	5	 320	52	14	0	0	0	0	1	5
0	1	 161	28	13	2	0	0	0	0	5
1900	5	 269	33	13	0	1	1	0	1	5
2074	5	 400	27	14	0	0	0	0	1	6
0	1	 270	55	12	0	0	0	0	1	6
520	2	 120	63	9	0	0	0	0	1	8
0	1	 460	35	12	1	2	0	0	1	8
344	2	 388	41	15	0	2	1	0	1	8
1968	5	 319	27	16	0	0	0	0	1	8
0	1	 454	64	12	0	0	0	0	1	8
1965	5	 262	37	16	1	0	0	0	1	6
1000	3	 530	45	12	0	0	1	0	1	7
0	1	 209	26	13	1	0	0	0	0	6
2008	5	 498	55	17	0	0	0	0	1	7
0	1	 571	33	17	2	0	0	0	1	2
1924	5	 383	49	12	0	0	0	1	0	5
0	1	 3275	60	12	0	0	0	0	1	8
2070	5	 871	63	15	0	0	0	0	1	3
872	3	 100	27	10	0	0	0	0	0	3
3568	6	 919	36	14	1	1	0	0	1	5
714	2	 333	58	16	0	0	0	0	1	6
276	2	 131	44	14	0	0	0	0	0	11
2016	5	 85	25	16	0	0	0	0	0	8
0	1	 166	22	9	3	0	0	0	0	5
1040	3	 705	45	13	0	0	0	0	1	3
0	1	 393	51	12	0	0	0	0	1	3
1936	5	 117	30	10	0	2	0	0	0	3
4	2	 484	41	12	0	1	0	0	1	5
2495	6	 121	28	12	0	1	0	0	0	5
1885	5	 236	28	16	0	0	0	0	1	5
894	3	 630	55	14	0	0	0	0	1	6
1860	5	 282	33	15	2	0	0	0	0	8
1874	5	 460	38	11	0	0	1	0	0	4
2268	6	 330	48	7	0	0	0	0	1	7
0	1	 165	33	11	0	1	0	0	1	7
0	1	 535	47	9	0	0	1	1	1	5
103	2	 237	48	11	0	0	1	0	1	6
130	2	 859	55	17	0	0	0	0	1	4
1880	5	 500	53	16	0	0	0	1	1	4
1650	4	 620	52	16	0	0	0	1	1	4
0	1	 225	34	12	0	1	0	1	0	4
698	2	 497	32	14	1	0	0	0	0	3
744	2	 450	34	16	1	1	0	0	0	3
1200	3	 2000	58	12	0	0	0	0	1	3
0	1	 72	63	12	0	0	0	0	1	9
588	2	 237	49	10	0	0	0	1	1	10
1216	3	 200	27	12	2	1	0	1	1	10
0	1	 456	34	13	0	2	1	0	1	5
784	3	 291	29	14	0	0	0	0	0	5
0	1	 244	34	16	2	0	0	0	1	3
0	1	 180	35	16	2	2	0	0	0	4
2050	5	 210	60	12	0	0	0	0	1	3
2054	5	 279	46	12	0	0	0	0	1	3
2122	5	 270	24	12	0	0	0	0	1	3
1880	5	 270	46	12	0	0	0	0	1	3
0	1 	 100	34	11	0	1	2	1	0	3
1972	5	 181	29	13	1	1	0	1	1	3
0	1	 114	57	12	0	0	0	0	1	6
1960	5	 206	30	12	1	2	0	0	1	3
0	1	 168	57	12	0	0	0	0	1	3
0	1	 72	62	10	0	0	0	0	1	3
1568	4	 291	38	14	0	1	1	0	1	3
0	1	 540	32	16	2	0	0	0	1	6
1632	4	 386	43	12	0	0	0	0	1	4
1960	5	 150	35	12	0	1	0	0	0	3
0	1	 211	62	12	0	0	0	0	1	4
1880	5	 303	39	12	0	0	1	0	1	3
1224	3	 410	55	12	0	0	0	0	1	4
1296	4	 70	26	12	1	0	0	0	0	4
0	1	 160	24	12	1	0	0	0	0	4
775	3	 373	36	16	1	1	0	0	1	5
0	1	 607	32	15	2	0	0	0	1	7
0	1	 456	39	14	1	1	0	0	1	5
2022	5	 429	39	12	0	0	2	0	1	4
1729	4	 159	34	12	0	0	0	0	1	6
1504	4	 332	39	16	1	1	0	0	1	3
1436	4	 274	43	17	0	1	1	0	1	3
0	1	 380	43	13	0	0	0	0	1	6
1952	5	 161	35	11	1	0	0	0	0	6
0	1	 77	28	12	0	2	0	0	0	6
1692	4	 100	41	17	1	2	0	0	1	8
0	1	 94	50	12	0	0	0	1	1	10
0	1	 150	45	10	0	1	0	1	1	10
432	2	 122	40	14	0	1	0	0	0	2
534	2	 146	36	13	2	0	0	0	0	3
2040	5	 75	31	12	0	1	0	0	0	4
2277	6	 355	34	17	0	0	0	0	1	2
0	1	 264	40	12	0	1	2	0	1	3
1050	3	 155	35	12	0	3	1	0	1	4
1644	4	 160	21	12	1	0	0	0	0	4
0	1	 482	39	12	0	1	0	0	1	1
2016	5	 266	39	9	0	0	0	0	1	3
200	2	 212	53	12	0	0	0	0	1	7
1890	5	 240	23	14	1	0	0	0	1	7
2205	5	 262	29	16	0	0	0	0	0	4
2808	6	 235	36	10	0	1	1	0	1	7
1056	3	 420	37	12	0	2	1	0	1	5
2340	6	 197	59	12	0	0	0	0	1	5
25	2	 123	24	12	2	0	0	0	0	4
1975	5	 0	46	12	1	1	0	0	1	7
2000	5	 402	52	12	0	0	0	0	1	3
1752	5	 343	24	14	0	0	0	0	0	3
1865	5	 121	27	12	0	0	0	0	1	11
328	2	 426	49	12	0	0	0	0	1	11
0	1	 72	28	12	2	0	0	0	1	12
1288	4	 107	43	10	0	0	0	0	1	12
0	1	 147	26	12	2	1	0	0	1	12
2450	6	 250	51	10	0	0	0	0	0	4
750	2	 501	37	12	1	0	1	0	1	3
1290	4	 186	41	8	0	1	0	0	0	9
0	1	 107	22	11	2	0	0	0	0	9
2061	5	 335	38	14	0	1	2	0	1	6
1523	4	 270	44	12	0	1	1	0	1	5
1900	5	 839	37	12	0	0	0	0	1	3
1656	4	 262	37	12	0	0	1	0	1	7
2450	6	 309	45	12	0	0	0	0	1	4
785	3	 171	21	15	1	0	0	0	0	4
1800	5	 123	60	14	0	0	0	1	1	3
2100	5	 647	55	13	0	0	1	0	1	2
1759	5	 269	36	14	0	1	1	1	1	6
0	1	 228	53	12	0	0	0	0	1	4
1896	5	 326	33	12	0	0	0	1	1	8
0	1	 236	37	13	0	1	0	0	1	8
882	3	 310	37	12	0	1	1	0	1	11
1596	4	 194	36	9	0	2	2	0	1	6
1834	5	 123	35	11	0	0	2	0	1	6
727	2	 418	46	16	0	1	0	0	1	4
1936	5	 160	26	14	1	0	0	0	0	7
0	1	 157	63	8	0	0	0	0	1	7
0	1	 245	62	12	0	0	0	0	1	8
1214	3	 215	22	15	0	0	0	0	0	8
0	1	 432	33	12	0	1	2	0	1	8
0	1	 320	28	14	2	0	0	0	0	6
0	1	 800	26	13	2	0	0	0	1	8
0	1	 240	62	12	0	0	0	0	1	6
0	1	 274	54	10	0	0	1	0	1	5
0	1	 237	31	12	1	1	0	0	1	8
1764	5	 370	33	13	0	3	0	0	0	9
2008	5	 240	23	8	1	1	0	0	0	5
1880	5	 190	35	11	0	1	1	0	1	5
1715	4	 110	32	10	0	2	1	0	0	5
0	1	 99	26	10	1	1	0	0	0	5
1312	4	 431	36	12	0	2	1	0	1	3
1720	4	 336	25	16	0	0	0	0	0	5
1790	5	 100	21	13	0	0	0	0	0	5
1920	5	 218	29	12	1	0	0	0	0	5
2046	5	 220	38	12	0	2	0	1	1	6
2390	6	 70	28	13	1	1	0	1	0	6
1920	5	 380	32	12	0	0	1	1	0	3
0	1	 141	56	15	0	0	0	0	0	5
1516	4	 534	26	17	0	0	0	0	1	7
4742	6	 230	31	17	1	2	0	0	1	8
1720	4	 232	28	12	1	0	0	0	1	8
0	1	 208	57	15	0	0	0	0	1	9
2000	5	 104	25	12	1	0	0	0	1	9
1709	4	 121	61	7	0	0	0	0	1	4
2540	6	 280	32	12	0	0	0	0	1	3
1250	3	 500	31	16	1	0	0	0	1	6
0	1	 166	62	12	0	0	0	0	1	4
1760	5	 108	44	13	0	0	0	0	0	3
1778	5	 302	44	13	0	0	1	0	1	3
2338	6	 378	26	17	0	0	0	0	0	7
973	3	 880	48	16	0	0	0	0	1	6
1764	5	 222	42	15	0	0	2	0	1	3
0	1	 384	64	17	0	0	0	0	1	3
353	2	 546	36	16	1	1	0	0	1	3
36	2	 2345	35	17	2	1	0	0	1	2
741	2	 500	37	16	0	2	0	0	1	3
0	1	 264	35	10	0	2	0	0	1	4
1656	4	 190	21	13	1	0	0	0	0	4
1628	4	 685	35	15	0	0	1	0	1	6
0	1	 144	40	12	1	1	0	0	0	8
1682	4	 741	55	13	0	0	1	0	1	3
2250	5	 360	27	16	1	0	0	0	1	3
0	1	 432	33	14	0	4	0	0	1	3
2167	5	 420	34	12	0	2	0	0	0	6
2510	6	 432	28	14	0	4	0	0	1	3
1843	5	 628	58	12	0	0	1	0	1	5
0	1	 470	35	13	1	0	1	0	1	5
2080	5	 481	24	12	0	0	0	0	1	5
2100	5	 280	36	14	0	1	1	0	1	5
1777	5	 240	31	12	0	2	0	0	1	5
1568	4	 100	33	17	1	1	0	0	1	4
1800	5	 563	51	14	0	0	0	0	1	5
1837	5	 322	27	17	0	0	0	0	1	4
492	2	 591	40	15	0	1	1	0	1	3
214	2	 855	31	16	2	0	0	0	1	5
1636	4	 190	28	15	0	0	0	0	1	5
2023	5	 280	26	16	0	0	0	0	1	2
1616	4	 363	35	12	1	1	0	0	1	5
1992	5	 194	34	16	0	0	0	0	0	5
1200	3	 123	57	12	0	0	0	0	1	6
759	3	 188	29	12	0	3	0	0	1	4
1000	3	 175	62	12	0	0	0	0	1	4
0	1	 685	40	12	1	1	0	0	1	5
0	1	 754	52	12	0	0	0	0	0	14
132	2	 530	37	17	2	0	0	0	1	5
657	2	 220	36	17	2	0	0	0	1	5
2000	5	 482	40	12	0	0	1	0	1	4
431	2	 282	28	12	0	0	0	1	0	7
2226	5	 93	27	12	2	0	0	0	0	5
1832	5	 269	29	16	0	0	0	0	0	5
2684	6	 528	43	12	0	0	0	0	1	5
1008	3	 288	31	14	1	0	0	0	1	9
396	2	 197	58	12	0	0	0	0	1	5
593	2	 240	28	13	1	0	0	0	1	7
2064	5	 212	55	14	0	0	0	0	0	7
1791	5	 430	35	16	0	1	0	0	1	5
1912	5	 264	26	12	0	0	0	0	1	5
