"X1","X2","X3"
"No.1 :","メディアを読み込めませんでした。                      最初Wi-Fiがつながらなくてあせりましたが、ルーターを再起動（電源抜いて、またさす）したら認識しました。予想通り、読み込みが最近見ないほど遅いですが、ユーチューブはちゃんと見れたので満足してます。11990円なので、写ればいいと思っていましたが、予想よりひどくなかったです。相応です。カメラが必要でいくつかアプリを入れましたが、スムーズに連続で撮ることが出来ません。すぐにフリーズ→カメラ再起動の繰り返しです。メモリが貧相なのかもしれません。説明のスペックならサクサクのはずなんですけどね。10インチってでかすぎるかなーと思っていましたが、それほどでもなく１０インチにしてよかったです。もっぱら家で子供がユーチューブみる用です。4/25追加中国製品にありがちな「レビュー書いたらタブレットケースプレゼント」サービスがあったのでレビューを書いたのですが、タブレットケースは送ってきませんでした。中国だから仕方ないんですけど、いや、しかたないのか？タブレットと同時にケースも買

っていたので、くれるかくれないかだけでも返事がほしいとメールを送って見ましたが、それもスルーされました。初期不良などはamazonに送り返したらいいだけですが、「初期不良や満足できないときは、すぐに対応させていただきます」とも書いてあるメールアドレスなので、それも普通にスルーされたらいやだなあと思って★４→★２に変更!",2
"No.2 :","4月から子供が中学生になったので、今まで使っていた小さなタブレットを買い換えました。求める点は3つ①大きくて綺麗な画面②電池の持ち③新しいOS①大きくて綺麗な画面ｍなので、検索など調べ物がしやすく、youtubeなど大画面で見れて満足しております。②電池の容量も6000mAhあるので、1日使っても十分持ちます。夜中に充電して十分使いまわせます。③これはある意味1番重要かもしれない。タブレットが古くてOSのバージョンアップができず、子供が遊んでいたゲームが出来なくなった。なのでなるべく最新のOSの大画面タブレットを探していた。値段もお手頃でちょうどよい買い物でした。",5
"No.3 :","まったく同じく充電ができない？電源が入らない。交換してもらいましたが、使って半年最初の物と同様電源が入らなくなりました。さすがにもう言うつもりなく他のタブレットを購入しようと思います。残念。",1
"No.4 :","YouTubeとZoom用に購入あまりにもカクカク動くので返品することにしました…",1
"No.5 :","私は、10,999円で購入しました。アンドロイド10、10インチで、主に母親にｙｏｕｔｕｂｅ等のネット動画などの閲覧用で購入しました。画質や音質、その他全く問題なく良い商品だと思います。届いたときにはすべに充電（99％）されており、液晶画面フィルムを貼られていました。とても親切だと思いましたが、液晶画面のフィルムは擦り傷があり、また、汚れもフィルムの内側にありました。そのため拭いても拭き取れません。電源をオンにすると見えなくなるのでいつかのタイミングで液晶フィルムを取り替えようと思っています。また、充電についてタイプＣと説明書やアマゾンの説明画面で記載されていますが、実際はタイプＢです。こういうところが本体性能について心配になるところですが、とにかく安さでカバーできています。充電の際にタイプＢのプラグを本体につなぐ際にとても固く、何度も抜き差ししていくと壊れないか心配になってきました。個人的な感想です。母親には母の日を待たずにプレゼントしようか迷っています。追加、電源をオンにすると本当に親切で言語が日本語に変更されており、すぐにグーグルにログイン、ｙｏｕｔｕｂｅアプリもすでに入

っているのですぐに閲覧できます。とにかく親切です。目標は普通に使って2年以上は使いたいと思います。",5
"No.6 :","画面に傷と汚れあり。アリエクスプレスやアマゾンでタブレットを買ったこともあるけどふつう初期状態で、はがす保護フィルムくらい画面に貼ってあるはずだが、これはむき出しで来た。１万だから別にもういいけど、返品品とかじゃないよね。なお、動きはもっさり、タッチ反応鈍い。1万だから。",1
"No.7 :","当たりだったら安い！設定は簡単だと思います、説明書もありました^ ^が、私は見なかったので以前タブレット端末は10年前にdocomoで購入…しかし故障はしていないのにT^TOSが古いのでYouTubeなどが使用出来ないので今回購入しました^ ^☆初めての感想は重い、厚みがあるが第一印象だけどこのお値段でしたら^_^購入して半月まだ２回しか見ていないのに私の場合にはいつも電源をOFFして充電してますが！２回目の充電の際<U+2047>充電のマークが出てない事に気付きすぐ電源ONにしかし画面は真っ暗T^T何度か試み一応充電を１時間ほどして再度試みましたが画面は付くことはありませんでした(o_o)返品をし、また同じ商品を購入しましたが今回は外れでは無い事を願っていますT^Tまぁ一応2台目は外れでは？ないようですが？光回線なのに重いし動画途中にスローモーション(o_o)電源を切、入れて再生すると大体動きます。このタブレットはどの程度持つか？が心配です",2
"No.8 :","今まで使用していたタブレットが壊れてしまったので購入しました。主に子どもが見るYouTubeやTikTokの使用が多いです。クーポン使用で1万ちょっとで買えたので普通に子どもが使う分には満足しています。追記1ヶ月後です。タッチ感度は初めからあまり良くなかったのですが「こんなもんかな？」と思っていたら、、だんだん画面を消しても音がなっていたり、充電がされてなかったり、ボタンが機能しなくなったり…と騙し騙し使ってたのですが、使用するにはストレスばかりになりました。充電が8%の時に「切れる前に…」とケーブルを繋ぎながら見ていたらすぐに充電切れし、その後翌朝まで7時間くらい充電しましたが、12%までしか充電されてませんでした。今までの事もあり、慌てて返品期日を確認したら2日後だったので間に合いましたが、とても残念に思います。他の方も書いてましたが、同封されていたケースプレゼントにもメールを送りましたが、送られて来ませんでした。情報だけ取られたみたいで何だかモヤモヤします。。",1
"No.9 :","今まで使っていたタブレットが古く、容量も少なかったので、とにかく動作が重くてイライラしていたので買い換えを検討しました。こちらの商品は画面が大きいので動画が見やすいです。初期設定もナビに従って簡単にできました。ストレージにも全然余裕ができたので、これからはイライラせずに済みます。",5
"No.10 :","直ぐに壊れた。買って1カ月半過ぎで電源が入らなくなった。",1
