"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1021627547803512833","x1481388056234315781",2022-01-12 22:10:10,"jijimedical","スリランカ、中国に返済再考を嘆願＝債務のわな、コロナ追い打ち
【ニューデリー、北京時事】巨大経済圏構想「一帯一路」の下で進出する中国への莫大（ばくだい）な債務を負ったスリランカが、中国に返済計画の再考を嘆願した。スリランカは行き詰まり、…
https://t.co/hJbX866onG","jijimedical-auto-post",143,,,,FALSE,FALSE,0,0,,,,,"medical.jiji.com/news/49920","https://t.co/hJbX866onG","https://medical.jiji.com/news/49920",,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jijimedical/status/1481388056234315781","時事メディカル","東京 中央区","医療情報サイト「時事メディカル」は、時事通信社が配信する医療系ニュースに加え、気になる慢性疾患や流行中の感染症など時宜にかなった特集、専門医インタビューなどを幅広く掲載しています。Facebookはhttps://t.co/EWI4iCbNOo","https://t.co/rBF8QdFBka",FALSE,58629,7278,915,22057,13,2018-07-24 05:26:03,TRUE,"https://t.co/rBF8QdFBka","https://medical.jiji.com/",,"https://pbs.twimg.com/profile_banners/1021627547803512833/1534320835",,"http://pbs.twimg.com/profile_images/1021645838060216320/tGP54XwS_normal.jpg"
"x1321785504","x1481388044985200645",2022-01-12 22:10:07,"kouhei1005mon","NHKニュース､時田章史医師｢これまでと同じ対応では医療も社会も回らなくなる｡症状が軽いオミクロン株に適した対応を｣との趣旨の発言｡もっともな見識だと思う｡最終的には首相の判断｡弱毒ウィルスに強毒ウィルス対策を適用し続けると医療､経済､社会は崩壊する｡","Twitter for iPhone",126,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kouhei1005mon/status/1481388044985200645","大塚耕平","愛知県名古屋市","日本銀行を経て、参議院議員。早稲田大学客員教授（早大博士）、藤田医科大学客員教授。趣味は仏教とダイビング（指導員）。進歩と豊かさと平和を追求しています。","https://t.co/dhAyEpbc5Q",FALSE,19823,38,455,1469,184,2013-04-02 05:21:24,TRUE,"https://t.co/dhAyEpbc5Q","https://ohtsuka-kohei.jp/",,"https://pbs.twimg.com/profile_banners/1321785504/1560244224","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3474297717/5e1207f849e53081674c2091addf0f1f_normal.jpeg"
"x4713564422","x1481388025175482368",2022-01-12 22:10:02,"kabumaru555","おはようございます<U+0001F60A>
副業やって良かったなと思うのは世界が広がったこと<U+0001F30F>
たくさんの方に出会い、自己投資して知識が増えてきた。
本業だけでは足りない経済的余裕と心の余裕の両方を獲得できるんだ。
この余裕が人生に幅を持たせてくれる<U+0001F49E>
そんな副業にブーストをかけてくれるのがTwitter<U+0001F601>","SocialDog for Twitter",143,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kabumaru555/status/1481388025175482368","かぶまる","","お金の勉強動画700本超公開中<U+25B7>脱社畜マインドを養う動画<U+25B7>900万回再生｜チャンネル登録者30000人突破<U+25B7>副業が本業超え<U+25B7>テーマは脱社畜（現役社畜）｜資産運用<U+25B7>副業｜VOO（コア）レバナス＆USA360（サテライト）","https://t.co/MNwxYBdEuc",FALSE,8896,5499,48,17152,22557,2016-01-05 12:34:27,FALSE,"https://t.co/MNwxYBdEuc","https://www.youtube.com/channel/UCdinn6IY80IdKFc8kS3URDg",,"https://pbs.twimg.com/profile_banners/4713564422/1600423641",,"http://pbs.twimg.com/profile_images/1306897585173491712/BEhS9GUu_normal.jpg"
"x1357177914257666048","x1481388022285291521",2022-01-12 22:10:02,"kodaiGrow","カナダと日本の金融機関で働いた経験から
新卒の貯金0の自分に伝えたいこと⑨選

①ふるさと納税しろ
②格安Simを調べろ
③投資の勉強しろ
④自己投資が一番大事
⑤ユニクロ使え
⑥楽天経済圏を調べろ
⑦必要な保険だけ入れ
⑧つみたて投資をすぐ始めろ
<U+277E>

”意外だけど大切な⑨”はプロフの最後に。","Twitter for iPhone",140,,,,FALSE,TRUE,0,39,,,,,,,,,,,,,,,,"x1352453181779845121","isseicanada","ja",,,,,,,,,,,,,,,,"x1481375683456552967","カナダと日本の金融機関で働いた経験から
新卒の貯金0の自分に伝えたいこと⑨選

①ふるさと納税しろ
②格安Simを調べろ
③投資の勉強しろ
④自己投資が一番大事
⑤ユニクロ使え
⑥楽天経済圏を調べろ
⑦必要な保険だけ入れ
⑧つみたて投資をすぐ始めろ
<U+277E>

”意外だけど大切な⑨”はプロフの最後に。",2022-01-12 21:21:00,"Twitter Web App",115,39,"x1352453181779845121","isseicanada","イッセイ<U+0001F1E8><U+0001F1E6>",14013,200,15388,"Vancouver, British Columbia","カナダ在住｜ロイヤルバンクオブカナダにてIRP（早期リタイアプランナー）｜プロキックボクサー<U+25B6><U+FE0E>挫折<U+25B6><U+FE0E>投資銀行<U+25B6><U+FE0E>ニューヨークでMBA取得<U+25B6><U+FE0E>現在｜アメリカ株歴14年 ｜TOEIC 990｜⑨#新しい体験にはお金を惜しまない。フォローすると人生100年時代の土台が固まります。",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kodaiGrow/status/1481388022285291521","こうだい｜資産形成のプロ","お金の知識と市場価値を向上させるブログ","【投資を軸に資産形成を加速】フォローすると①資産の増やし方②お金の知識③節約方法が学べる【目標】20代で資産を築いて人生の自由時間を増やす｜投資額はつみたてNISAと米国ETFに60万円｜簿記2級×FP2級取得｜貯金250万円｜ブログ月間PV7500＋収益5桁","https://t.co/5fUArYaH2Y",FALSE,1114,183,24,13015,15937,2021-02-04 04:03:32,FALSE,"https://t.co/5fUArYaH2Y","https://kodai-growup-blog.com/",,"https://pbs.twimg.com/profile_banners/1357177914257666048/1637537654",,"http://pbs.twimg.com/profile_images/1481145093268463617/4LqdBvuU_normal.jpg"
"x1357177914257666048","x1481387072439021570",2022-01-12 22:06:15,"kodaiGrow","改悪続きだからと、「楽天証券」を嫌いになるのはまだ早い。22年からポイント付与率が大改悪、マネーブリッジの金利が300万円までは0.1%、300万円以上は0.04%にダウン。だけど新しく始まった業界初のサービスが。答えはプロフに。まだまだ楽天経済圏は強いはず。自分に合った証券口座を選択しよ！","Twitter for iPhone",140,,,,FALSE,TRUE,0,20,,,,,,,,,,,,,,,,"x1249148125295464448","sarumon23","ja",,,,,,,,,,,,,,,,"x1481370522378280972","改悪続きだからと、「楽天証券」を嫌いになるのはまだ早い。22年からポイント付与率が大改悪、マネーブリッジの金利が300万円までは0.1%、300万円以上は0.04%にダウン。だけど新しく始まった業界初のサービスが。答えはプロフに。まだまだ楽天経済圏は強いはず。自分に合った証券口座を選択しよ！",2022-01-12 21:00:29,"SocialDog for Twitter",58,20,"x1249148125295464448","sarumon23","さるもん<U+0001F435>資産形成",5844,272,8843,"","【資産形成とお金の勉強】人生100年時代の資産形成について発信<U+0001F4B0>| 30代サラリーマンで2児の父<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466> | 資産運用実績8桁 | →楽天ポイントで米国株式が買えるように。これは業界初！まさかのSBI証券も保有投信のポイント改悪のため、楽天経済圏の人はこのままがオススメ！",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kodaiGrow/status/1481387072439021570","こうだい｜資産形成のプロ","お金の知識と市場価値を向上させるブログ","【投資を軸に資産形成を加速】フォローすると①資産の増やし方②お金の知識③節約方法が学べる【目標】20代で資産を築いて人生の自由時間を増やす｜投資額はつみたてNISAと米国ETFに60万円｜簿記2級×FP2級取得｜貯金250万円｜ブログ月間PV7500＋収益5桁","https://t.co/5fUArYaH2Y",FALSE,1114,183,24,13015,15937,2021-02-04 04:03:32,FALSE,"https://t.co/5fUArYaH2Y","https://kodai-growup-blog.com/",,"https://pbs.twimg.com/profile_banners/1357177914257666048/1637537654",,"http://pbs.twimg.com/profile_images/1481145093268463617/4LqdBvuU_normal.jpg"
"x742684690436501504","x1481388016392232960",2022-01-12 22:10:00,"hk_kousan","#韓国 と #台湾 は、一人当たりGDPで日本と同レベルになり、追い越そうとしている。高い成長が今後も予測されるので、今後、日本との差が広がる。日本経済停滞の原因として、人口高齢化もあるが、技術進歩率の低さも大きい。韓国の技術進歩率は、将来も高いと予測されている。https://t.co/O188cSAzNB","Twitter for Android",140,,,,FALSE,TRUE,0,15,,,"韓国 台湾",,,,,,,,,,,,,"x877452224","yukionoguchi10","ja",,,,,,,,,,,,,,,,"x1481379693496782848","#韓国 と #台湾 は、一人当たりGDPで日本と同レベルになり、追い越そうとしている。高い成長が今後も予測されるので、今後、日本との差が広がる。日本経済停滞の原因として、人口高齢化もあるが、技術進歩率の低さも大きい。韓国の技術進歩率は、将来も高いと予測されている。https://t.co/O188cSAzNB",2022-01-12 21:36:56,"Twitter Web App",32,15,"x877452224","yukionoguchi10","野口悠紀雄",32827,18,4534,"","一人の伝道師として、信念を述べ続けたいと思います。
それが正しいと人々が認めてくれる日がいつか来ると信じて。

講演・執筆・ご取材などのご連絡は、https://t.co/psizDYmvKv
からお受けできます（リモートでの講演もお受けします）。",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hk_kousan/status/1481388016392232960","Metal cryptography 444.44Nakamoto","龍宮城　Ryugujyou with Porgy","有一種の阿幣外傳。対貨幣有興趣、但不是為人民幣服務。
#BABYMETAL と　#bitcoin　2人のNakamotoによる衝撃 
それはノアの方舟なのか？破壊的イノベーションなのか？
全てのTweetは財務上のアドバイスではありません。　Only the GOX-God knows.",,FALSE,332,854,4,14781,44032,2016-06-14 11:46:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/742684690436501504/1633938461","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1447469374969835529/MHwaBEtb_normal.jpg"
"x380620597","x1481388015687979008",2022-01-12 22:10:00,"take_judge","「彼らは誰かが幸せになると自分が「損」したような気分になるタイプ」は、百害あって一利なしなので、そういった気分にならぬよう自分を律していかなければならんのです。この気分に由来する愚行には、「公務員の給与が高すぎる」「もう経済成長はいらない」「若いやつを甘やかすな」等がありますね。","Twitter Web App",140,,,,FALSE,TRUE,0,740,,,,,,,,,,,,,,,,"x68907054","GoITO","ja",,,,,,,,,,,,,,,,"x1481084322446999552","「彼らは誰かが幸せになると自分が「損」したような気分になるタイプ」は、百害あって一利なしなので、そういった気分にならぬよう自分を律していかなければならんのです。この気分に由来する愚行には、「公務員の給与が高すぎる」「もう経済成長はいらない」「若いやつを甘やかすな」等がありますね。",2022-01-12 02:03:14,"Twitter Web App",1388,740,"x68907054","GoITO","伊藤　剛",30544,1212,279829,"チーバけん／中野","東京工芸大学マンガ学科教授。著書『テヅカ・イズ・デッド　ひらかれたマンガ表現論へ』共著書『鉱物コレクション入門』など
2012~14年度文化庁メディア芸術祭マンガ部門審査員。2019年大英博物館マンガ展学術協力。※ツイートは個人の見解、意見です。

好きなもの：ホームセンター、農産物直売所",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/take_judge/status/1481388015687979008","たけっち（コミナティ筋注2回目接種完了）","京都市内の全国有数の鉄道密集地帯","興味ジャンル：アニメ、特撮、政治経済、科学技術、医療（特に、#がん 、精神疾患（ #発達障害 当事者））。フォロー、リムーブはご自由に。 なお、 #放射脳 はお断り。
なお、今後は連絡、ならびに、noteなどのメモや広報用にのみtwitterを使用します。
https://t.co/Uy3RqFJeVF…","https://t.co/eTi3xlxWmt",FALSE,1965,2649,43,207356,210281,2011-09-26 23:29:30,FALSE,"https://t.co/eTi3xlxWmt","https://note.com/take_judge",,"https://pbs.twimg.com/profile_banners/380620597/1365414089","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1043462297186754560/dn0Hf-xK_normal.jpg"
"x159781897","x1481388014777638912",2022-01-12 22:10:00,"OYAMAX_NEWS","新潟県佐渡市の消防職員がスーパーマーケットでの万引きで逮捕｜佐渡市役所 新潟県佐渡市は１２日、佐渡市消防職員１人が万引きにより逮捕されたと発表した。 佐渡市によ...（にいがた経済新聞） https://t.co/yJ6yFzOObq","Twitter Web App",117,,,,FALSE,FALSE,0,0,,,,,"news.ismyprecious.jp/detail?id=8539…","https://t.co/yJ6yFzOObq","https://news.ismyprecious.jp/detail?id=853908662391865344",,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OYAMAX_NEWS/status/1481388014777638912","株式会社パズルピース","東京 渋谷区","ニュースメディア運営、メディア露出調査、人工知能研究などを手掛ける株式会社パズルピースの公式アカウントです。8～22時は新型コロナ関連のニュースを中心に、22～24時は色んなニュース、24～8時は前日にクリック数の多かったニュースをツイートしています。","https://t.co/tiFZcaNFmr",FALSE,4949,4931,12,30822,418,2010-06-26 09:38:00,FALSE,"https://t.co/tiFZcaNFmr","https://puzzlepiece.co.jp",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1362263590690938889/k2KPGgf-_normal.jpg"
"x159781897","x1481382981616820232",2022-01-12 21:50:00,"OYAMAX_NEWS","新潟県立直江津中等教育学校（新潟県上越市）、県立国際情報高等学校（新潟県南魚沼市）の生徒２人が...｜新潟県教育庁は１２日、県立中等教育学校と高等学校で生徒２人が新型コロナウイルスに感染したと発表した...（にいがた経済新聞） https://t.co/QKcC33WbEW","Twitter Web App",137,,,,FALSE,FALSE,0,0,,,,,"news.ismyprecious.jp/detail?id=8539…","https://t.co/QKcC33WbEW","https://news.ismyprecious.jp/detail?id=853916872250507264",,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OYAMAX_NEWS/status/1481382981616820232","株式会社パズルピース","東京 渋谷区","ニュースメディア運営、メディア露出調査、人工知能研究などを手掛ける株式会社パズルピースの公式アカウントです。8～22時は新型コロナ関連のニュースを中心に、22～24時は色んなニュース、24～8時は前日にクリック数の多かったニュースをツイートしています。","https://t.co/tiFZcaNFmr",FALSE,4949,4931,12,30822,418,2010-06-26 09:38:00,FALSE,"https://t.co/tiFZcaNFmr","https://puzzlepiece.co.jp",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1362263590690938889/k2KPGgf-_normal.jpg"
"x60276160","x1481388010696441856",2022-01-12 22:09:59,"GIAN_3","長期投資は個別銘柄を見るだけでは絶対に儲からない。
その国のなんたるやそして世界的な繋がりや様々な国の政治経済に興味を持ち大局観で見る必要がある。
世界中にアンテナを張れなんて事は言わないが飛び交う信用ある情報にアクセスし日々興味を持ち広い視野を持ち合わせないと生き残れない。","Twitter for Android",138,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GIAN_3/status/1481388010696441856","GIAN","鎌倉","母はフランス人で熱心ではないクリスチャン。父は日本人で住職。そんなざっくばらんな家庭で育ち様々なスタンダードと妥協を身にまとったtweetをどうぞ…
尚中国株歴は18年になり投資まもなくからテンセントを主力に買ったら売らない長期保有で買い増しを繰り返し現在に。",,FALSE,2175,35,46,14572,4889,2009-07-26 09:59:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/60276160/1464421552","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/921931765446348801/FxiTW8H-_normal.jpg"
