"","Factor1","Factor2"
"ハッピーターン",1.82050452005481,1.25107217579746
"雪の宿",1.28176902792083,0.194218360930495
"ぽたぽた焼き",0.529262450702008,-0.155253521875601
"黒豆せんべい",-1.18662160226483,1.09605457586343
"まがりせんべい",-0.179771600899803,0.519786606533552
"チーズアーモンド",-0.297574333350116,0.646149458956277
"手塩屋",-1.05010909818666,0.952874966342462
"ばかうけ",0.015999784474495,-1.31039231268025
"粒より小餅",0.760180300907755,-1.51987052371919
"田舎おかき",-1.02021352320431,-0.647520406399255
"うまい！堅焼き",-0.673425926154175,-1.02711937974939
