"recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","visit","conversion","spend"
10,"2) $100 - $200",142.44,1,0,"Surburban",0,"Phone","Womens E-Mail",0,0,0
7,"2) $100 - $200",180.65,0,1,"Surburban",1,"Web","Womens E-Mail",0,0,0
9,"5) $500 - $750",675.83,1,0,"Rural",1,"Web","Mens E-Mail",0,0,0
2,"1) $0 - $100",45.34,1,0,"Urban",0,"Web","Womens E-Mail",0,0,0
6,"2) $100 - $200",134.83,0,1,"Surburban",0,"Phone","Womens E-Mail",1,0,0
9,"3) $200 - $350",280.2,1,0,"Surburban",1,"Phone","Womens E-Mail",0,0,0
9,"1) $0 - $100",46.42,0,1,"Urban",0,"Phone","Womens E-Mail",0,0,0
9,"5) $500 - $750",675.07,1,1,"Rural",1,"Phone","Mens E-Mail",0,0,0
10,"1) $0 - $100",32.84,0,1,"Urban",1,"Web","Womens E-Mail",0,0,0
7,"5) $500 - $750",548.91,0,1,"Urban",1,"Phone","Womens E-Mail",1,0,0
1,"3) $200 - $350",211.45,0,1,"Urban",1,"Phone","Womens E-Mail",0,0,0
5,"5) $500 - $750",642.9,0,1,"Surburban",1,"Multichannel","Womens E-Mail",0,0,0
2,"2) $100 - $200",101.64,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0
5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0
9,"2) $100 - $200",112.35,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0
11,"3) $200 - $350",219.04,1,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0
5,"6) $750 - $1,000",828.42,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0
11,"2) $100 - $200",182.32,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0
2,"2) $100 - $200",118.4,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0
6,"2) $100 - $200",139.87,0,1,"Rural",1,"Web","Mens E-Mail",0,0,0
12,"2) $100 - $200",115.39,0,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0
6,"2) $100 - $200",162.98,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0
2,"3) $200 - $350",237.53,0,1,"Surburban",0,"Phone","Womens E-Mail",0,0,0
9,"3) $200 - $350",334.24,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0
6,"2) $100 - $200",128.01,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0
9,"1) $0 - $100",29.99,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0
3,"1) $0 - $100",29.99,1,0,"Rural",0,"Web","Womens E-Mail",0,0,0
4,"3) $200 - $350",218.72,0,1,"Urban",0,"Multichannel","Womens E-Mail",0,0,0
1,"5) $500 - $750",514.52,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0
4,"6) $750 - $1,000",766.47,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0
10,"1) $0 - $100",63.79,1,0,"Rural",1,"Phone","Womens E-Mail",0,0,0
7,"5) $500 - $750",520.43,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0
11,"3) $200 - $350",236.97,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0
3,"1) $0 - $100",99.23,1,0,"Rural",0,"Web","Mens E-Mail",1,0,0
9,"3) $200 - $350",204.18,0,1,"Surburban",0,"Web","Womens E-Mail",0,0,0
1,"5) $500 - $750",729.7,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0
3,"2) $100 - $200",134.59,1,0,"Urban",1,"Phone","Womens E-Mail",1,0,0
10,"1) $0 - $100",61.09,0,1,"Surburban",0,"Web","Womens E-Mail",0,0,0
9,"2) $100 - $200",185.43,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0
7,"1) $0 - $100",29.99,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0
9,"1) $0 - $100",78.62,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0
12,"1) $0 - $100",69.08,0,1,"Rural",0,"Phone","Womens E-Mail",0,0,0
9,"5) $500 - $750",506.83,1,0,"Rural",1,"Multichannel","Mens E-Mail",0,0,0
3,"2) $100 - $200",143.93,0,1,"Surburban",0,"Phone","Womens E-Mail",0,0,0
