Date,LogPI_A,LogPriceIndex_A,LogPriceIndex_B,Display_A,Display_B
20030801,0.205549243,-0.176703564,0,0,0
20030802,0.878272665,-0.183554711,0,0,0
20030803,-0.019067063,-0.176703564,-0.03207904,0,0
20030804,0.581904002,-0.176703564,0,0,0
20030805,0.872957607,-0.220882528,0,0,0
20030806,1.021342653,-0.188443544,0,0,0
20030807,1.625821392,-0.193386064,-0.019529627,0,0
20030808,-1.121677562,-0.176703564,0,0,0
20030809,0.654695994,-0.19194518,0,0,0
20030810,0.939047719,-0.203020873,-0.38766154,0,0
20030811,-0.501683966,-0.230654079,-0.420299115,0,1
20030812,-1.147402453,-0.176703564,-0.410226912,0,1
20030813,-0.056065224,-0.202236866,-0.42471736,0,1
20030814,0.134674903,-0.176703564,-0.415325853,0,1
20030815,-0.988053098,-0.176703564,-0.398057217,0,1
20030816,-0.026317308,-0.176703564,-0.404868017,0,1
20030817,0.916790857,-0.195363987,-0.406051884,0,1
20030818,0.778082791,-0.187566677,0,0,0
20030819,1.427116356,-0.206223583,0,0,0
20030820,-1.096276229,-0.176703564,-0.207901935,0,0
20030821,-1.188757639,0,-0.214576824,0,0
20030822,-1.139114232,0,-0.222412468,0,0
20030823,0.156361455,0,-0.219641915,0,0
20030824,0.265790126,-0.015614228,-0.225118623,0,0
20030825,0.233193887,0,-0.207901935,0,0
20030826,-0.459953293,0,-0.223902277,0,0
20030827,-1.086877032,0,-0.226073241,0,0
20030828,0.341434528,-0.020454248,-0.230852369,0,0
20030829,0.031490667,-0.018957914,-0.215130882,0,0
20030830,-1.13365763,0,-0.218461696,0,0
20030831,-1.288957128,0,-0.237754898,0,0
20030901,-1.295548748,0,-0.207901935,0,0
20030902,-0.955126756,0,-0.207901935,0,0
20030903,-0.992510758,0,-0.207901935,0,0
20030904,-0.996210355,0,-0.207901935,0,0
20030905,-0.943905899,0,-0.207901935,0,0
